Packet Inter-arrival (ms), Packet Length (bytes), Data Rate (bps)
0, 1543, 0
0.09613037109375, 1543, 
0.101806640625, 1543, 
0.10003662109375, 1543, 
0.10009765625, 97, 
21.285675048828125, 161, 
25.437744140625, 161, 51440
23.408538818359375, 1543, 
0.193817138671875, 1543, 
0.20196533203125, 1543, 
0.19854736328125, 1543, 
13.01531982421875, 151, 
40.177947998046875, 161, 
21.123687744140625, 186, 53160
20.718658447265625, 1543, 
0.09881591796875, 1543, 
0.100006103515625, 1543, 
0.101898193359375, 1543, 
0.09857177734375, 126, 
20.86981201171875, 161, 
21.5361328125, 186, 
22.547454833984375, 1543, 54648
0.50225830078125, 1543, 
0.40020751953125, 1543, 
0.600494384765625, 1543, 
0.400238037109375, 126, 
22.079620361328125, 186, 
36.3485107421875, 161, 
21.391693115234375, 1543, 
0.50006103515625, 1543, 
0.302398681640625, 1543, 
15.751129150390625, 1543, 90192
0.50067138671875, 126, 
22.44964599609375, 186, 
22.33441162109375, 161, 
21.372039794921875, 1543, 
0.198333740234375, 1543, 
0.20196533203125, 1543, 
0.20037841796875, 1543, 
0.198272705078125, 151, 
21.6566162109375, 161, 
22.433349609375, 161, 68000
22.50408935546875, 1543, 
18.944061279296875, 1543, 
7.758758544921875, 1543, 
0.50274658203125, 1543, 
16.3675537109375, 151, 
21.6331787109375, 161, 51872
37.91986083984375, 186, 
21.01654052734375, 1543, 
0.402374267578125, 1543, 
14.16400146484375, 1543, 
0.402740478515625, 1543, 
0.40008544921875, 126, 
36.334442138671875, 161, 53160
25.3917236328125, 186, 
22.355712890625, 1543, 
0.701171875, 1543, 
0.200347900390625, 1543, 
0.3016357421875, 1543, 
0.2000732421875, 126, 
24.774444580078125, 186, 
21.313720703125, 161, 54648
20.71441650390625, 1543, 
0.20013427734375, 1543, 
12.20843505859375, 1543, 
17.712310791015625, 1543, 
4.002777099609375, 126, 
20.814483642578125, 186, 
36.5091552734375, 161, 53160
21.299102783203125, 1543, 
0.402587890625, 1543, 
0.4002685546875, 1543, 
0.400360107421875, 1543, 
0.50042724609375, 151, 
31.58172607421875, 161, 
34.7647705078125, 161, 53160
22.669830322265625, 1543, 
0.400299072265625, 1543, 
0.40032958984375, 1543, 
13.148712158203125, 1543, 
0.402587890625, 151, 
22.28118896484375, 161, 
22.6185302734375, 186, 
34.9976806640625, 1543, 54648
0.199249267578125, 1543, 
0.1990966796875, 1543, 
0.10003662109375, 1543, 
0.200439453125, 126, 
21.050140380859375, 161, 
21.713714599609375, 186, 
22.657012939453125, 1543, 
0.402374267578125, 1543, 
0.4002685546875, 1543, 
0.59808349609375, 1543, 
0.402618408203125, 126, 
22.220062255859375, 186, 103544
20.73876953125, 161, 
24.677642822265625, 1543, 
10.069580078125, 1543, 
0.40185546875, 1543, 
0.400299072265625, 1543, 
0.69775390625, 126, 
22.70855712890625, 186, 
22.54986572265625, 161, 54648
22.6563720703125, 1543, 
0.402862548828125, 1543, 
0.397552490234375, 1543, 
0.703277587890625, 1543, 
0.3974609375, 151, 
23.00274658203125, 161, 
22.74993896484375, 161, 
22.6455078125, 1543, 54448
0.40020751953125, 1543, 
0.40032958984375, 1543, 
0.700469970703125, 1543, 
16.20928955078125, 151, 
22.327362060546875, 161, 
21.686431884765625, 186, 
41.991546630859375, 1543, 53360
13.6353759765625, 1543, 
19.035736083984375, 1543, 
0.4993896484375, 1543, 
0.400238037109375, 126, 
33.20281982421875, 161, 
35.9161376953125, 186, 51672
22.866363525390625, 1543, 
0.3973388671875, 1543, 
0.403228759765625, 1543, 
0.39752197265625, 1543, 
0.40020751953125, 126, 
22.719970703125, 186, 
22.834869384765625, 161, 
22.934326171875, 1543, 54648
0.20001220703125, 1543, 
0.100067138671875, 1543, 
0.0, 1543, 
3.402374267578125, 126, 
21.024627685546875, 186, 
22.423614501953125, 161, 
22.3604736328125, 1543, 
0.399566650390625, 1543, 
0.40087890625, 1543, 
0.702850341796875, 1543, 
0.397705078125, 151, 
21.614410400390625, 161, 103744
20.814422607421875, 161, 
20.714385986328125, 1543, 
0.2001953125, 1543, 
18.813079833984375, 1543, 
0.100067138671875, 1543, 
9.5106201171875, 151, 
