time, pkt length
0, 157
0.42861270904541016, 82
0.12550139427185059, 107
0.012010574340820312, 82
0.6030740737915039, 132
0.00400543212890625, 107
0.4717836380004883, 107
0.38626527786254883, 82
0.09606575965881348, 107
0.10516214370727539, 82
0.3203749656677246, 132
0.01804184913635254, 82
0.005974531173706055, 132
0.321591854095459, 107
0.21451091766357422, 107
0.005006074905395508, 82
0.9665071964263916, 132
0.5143179893493652, 82
0.003002166748046875, 107
0.48798227310180664, 82
0.25678205490112305, 132
0.003977775573730469, 82
0.325955867767334, 132
0.0060002803802490234, 82
0.14056992530822754, 107
0.3197290897369385, 82
0.17517304420471191, 107
0.23868012428283691, 107
0.32896947860717773, 157
0.0059814453125, 82
0.09850025177001953, 107
0.46388912200927734, 82
0.24677324295043945, 107
0.006004810333251953, 82
0.3217024803161621, 132
0.00399470329284668, 107
0.18261981010437012, 107
0.31504082679748535, 82
0.2821166515350342, 107
0.03222489356994629, 82
0.5109474658966064, 132
0.13505172729492188, 82
0.24817299842834473, 132
0.6445136070251465, 107
0.1163332462310791, 107
0.11028242111206055, 82
0.5500540733337402, 132
0.0030012130737304688, 82
0.11464428901672363, 107
0.3106839656829834, 82
0.002001047134399414, 132
0.003002643585205078, 82
0.4032762050628662, 132
0.002002239227294922, 82
0.19243907928466797, 107
0.3205275535583496, 82
0.4870123863220215, 107
0.013980388641357422, 107
0.3346128463745117, 157
0.15944337844848633, 82
0.4824497699737549, 107
0.33203625679016113, 82
0.003002643585205078, 107
0.003000974655151367, 82
0.31641316413879395, 132
0.001988649368286133, 107
0.0020143985748291016, 107
0.5603008270263672, 82
0.2571594715118408, 107
0.009004354476928711, 82
0.587517261505127, 132
0.1598968505859375, 82
0.17026567459106445, 132
0.46236133575439453, 107
0.005003690719604492, 107
0.0030012130737304688, 82
0.5201771259307861, 132
0.010015249252319336, 82
0.005003213882446289, 107
0.33046793937683105, 82
0.3205437660217285, 132
0.005027055740356445, 82
0.3277559280395508, 132
0.005032777786254883, 82
0.19071173667907715, 107
0.3413224220275879, 82
0.2889668941497803, 107
0.4007706642150879, 107
0.34088587760925293, 157
0.19212961196899414, 82
0.0890500545501709, 107
0.33196258544921875, 82
0.005001068115234375, 107
0.09606242179870605, 82
0.9298086166381836, 132
0.4393024444580078, 107
0.7443335056304932, 107
0.410106897354126, 82
0.28522777557373047, 107
0.008003950119018555, 82
0.6221804618835449, 132
0.4795267581939697, 82
0.20813989639282227, 132
0.5523800849914551, 107
0.005003929138183594, 107
0.0010025501251220703, 82
0.3102128505706787, 132
0.005003452301025391, 82
0.0010008811950683594, 107
0.31121134757995605, 82
0.005004167556762695, 132
0.16312670707702637, 82
0.53135085105896, 132
0.3872675895690918, 82
0.10407066345214844, 107
0.3302273750305176, 82
0.0009996891021728516, 107
0.13809728622436523, 107
0.33322644233703613, 157
0.002003908157348633, 82
0.00201416015625, 107
0.3111991882324219, 82
0.002001047134399414, 107
0.4212913513183594, 82
0.3992743492126465, 132
0.5353822708129883, 107
0.19515442848205566, 107
0.31215333938598633, 82
0.10108184814453125, 107
0.000989675521850586, 82
0.5833981037139893, 132
0.2481703758239746, 82
0.1861286163330078, 132
0.6124210357666016, 107
0.0020012855529785156, 107
0.0030019283294677734, 82
0.31421589851379395, 132
0.0020017623901367188, 82
0.22815680503845215, 107
0.3162357807159424, 82
0.2712063789367676, 132
0.008988380432128906, 82
