time, pkt length, data rate (bps)
0, 157, 0
21.11468505859375, 107, 3624
0.29730224609375, 82, 4080
30.127838134765625, 107, 3424
20.3250732421875, 82, 6648
21.66632080078125, 132, 6448
19.214111328125, 107, 4936
36.742034912109375, 107, 6848
