time, pkt length
0, 157
0.2528107166290283, 107
0.0050313472747802734, 82
0.22312402725219727, 107
0.004003047943115234, 82
0.22068572044372559, 132
0.004007816314697266, 107
0.22515463829040527, 107
0.004997968673706055, 82
0.22609448432922363, 132
0.004002094268798828, 82
0.23008513450622559, 132
0.004981517791748047, 82
0.28531932830810547, 107
0.27847838401794434, 82
0.5709898471832275, 107
0.002002716064453125, 107
0.2133488655090332, 132
0.009008407592773438, 82
0.22330188751220703, 132
0.005006074905395508, 82
0.22082161903381348, 107
0.15210556983947754, 82
0.45782923698425293, 132
0.0020017623901367188, 82
0.23616290092468262, 107
0.0030014514923095703, 107
0.209183931350708, 107
0.14681434631347656, 82
0.22582030296325684, 157
0.0029871463775634766, 82
0.21848177909851074, 107
0.0040323734283447266, 82
0.22317147254943848, 107
0.002984762191772461, 82
0.21441102027893066, 132
0.21222734451293945, 107
0.22421050071716309, 107
0.003979921340942383, 82
0.22545719146728516, 132
0.004002809524536133, 82
0.5172595977783203, 132
0.0029883384704589844, 82
0.21044540405273438, 107
0.0009593963623046875, 82
0.2146153450012207, 107
0.0280148983001709, 107
0.2255415916442871, 132
0.0040090084075927734, 82
0.22533869743347168, 132
0.004002094268798828, 82
0.22451496124267578, 107
0.0020012855529785156, 82
0.21824121475219727, 132
0.0040242671966552734, 82
0.22441959381103516, 107
0.0019974708557128906, 107
0.2151179313659668, 107
0.0040090084075927734, 82
0.2271125316619873, 157
0.006975650787353516, 82
0.22874927520751953, 107
0.008002996444702148, 82
0.22487401962280273, 107
0.14353489875793457, 82
0.23757457733154297, 132
0.004011869430541992, 107
0.2231431007385254, 107
0.002015352249145508, 82
0.21369528770446777, 132
0.0019865036010742188, 82
0.2176504135131836, 132
0.005003452301025391, 82
0.46439504623413086, 107
0.002987384796142578, 82
0.21114134788513184, 107
0.4500913619995117, 107
0.28739356994628906, 132
0.04002785682678223, 82
0.25226759910583496, 132
0.005002737045288086, 82
0.3738689422607422, 107
0.002011537551879883, 82
0.21848320960998535, 132
0.057034969329833984, 82
0.22831368446350098, 107
0.0030024051666259766, 107
0.40895962715148926, 107
0.007005453109741211, 82
0.22368979454040527, 157
0.00403141975402832, 82
0.35576796531677246, 107
0.172119140625, 82
0.4532308578491211, 107
0.000993967056274414, 82
0.21501612663269043, 132
0.04702425003051758, 107
0.2132575511932373, 107
0.07927417755126953, 82
0.25714683532714844, 132
0.003001689910888672, 82
0.5036191940307617, 132
0.001959085464477539, 82
0.2154390811920166, 107
0.005998134613037109, 82
0.5105035305023193, 107
0.0050029754638671875, 107
0.533862829208374, 132
0.005002260208129883, 82
0.4552948474884033, 132
0.08005547523498535, 82
0.32884979248046875, 107
0.008009910583496094, 82
0.40336179733276367, 132
0.0020012855529785156, 82
0.2092442512512207, 107
0.15848517417907715, 107
0.23756098747253418, 107
0.004973411560058594, 82
0.22816777229309082, 157
0.001981019973754883, 82
0.2202587127685547, 107
0.0020074844360351562, 82
0.2186448574066162, 107
0.0040204524993896484, 82
0.43201375007629395, 132
0.00602412223815918, 107
0.22612690925598145, 107
0.0029985904693603516, 82
0.2406141757965088, 132
0.20348525047302246, 82
0.49833083152770996, 132
0.17186236381530762, 82
0.22986888885498047, 107
0.002983570098876953, 82
0.21257710456848145, 107
0.0029993057250976562, 107
0.24759125709533691, 132
0.005006313323974609, 82
0.23291301727294922, 132
0.003001689910888672, 82
0.22292590141296387, 107
0.007006168365478516, 82
0.5989389419555664, 132
0.0050008296966552734, 82
0.29516077041625977, 107
0.007997512817382812, 107
0.2303318977355957, 107
0.002001523971557617, 82
0.20914459228515625, 157
0.002000570297241211, 82
0.20814251899719238, 107
0.0020029544830322266, 82
0.3534505367279053, 107
0.002002239227294922, 82
0.21471095085144043, 132
0.3975956439971924, 107
0.21094655990600586, 107
0.0030012130737304688, 82
0.2191483974456787, 132
0.054125070571899414, 82
0.23160123825073242, 132
0.004002094268798828, 82
0.23025751113891602, 107
0.006025791168212891, 82
0.22805142402648926, 107
0.20778775215148926, 107
0.42955923080444336, 132
0.004023075103759766, 82
0.23260831832885742, 132
0.0050122737884521484, 82
0.21391630172729492, 107
0.0049970149993896484, 82
0.22926664352416992, 132
0.004021883010864258, 82
0.2303621768951416, 107
0.0020020008087158203, 107
0.21521711349487305, 107
0.0019469261169433594, 82
