"avg_time (s)" avg_latitude avg_longitude avg_altitude(m) avg_ultrasonicHeight(m) avg_speed(mps) avg_distance(m) avg_time(millisecond) avg_velocityX(mps) avg_velocityY(mps) avg_velocityZ(mps) avg_pitch(deg) avg_roll(deg) avg_yaw(deg) avg_pitchRaw avg_rollRaw avg_yawRaw avg_uplinkSignalQuality "stdDev_time (s)" stdDev_latitude stdDev_longitude stdDev_altitude(m) stdDev_ultrasonicHeight(m) stdDev_speed(mps) stdDev_distance(m) stdDev_time(millisecond) stdDev_velocityX(mps) stdDev_velocityY(mps) stdDev_velocityZ(mps) stdDev_pitch(deg) stdDev_roll(deg) stdDev_yaw(deg) stdDev_pitchRaw stdDev_rollRaw stdDev_yawRaw stdDev_uplinkSignalQuality
40.45614285714286 48.07493914285715 11.648151428571428 10.0 0.0 0.9500000000000001 37.16285714285714 40456.142857142855 -0.3 -0.9000000000000001 0.0 1.5142857142857142 -1.9 0.0 -15.142857142857142 -19.0 0.0 100.0 0.29337222995048784 8.329931257319375e-07 3.6196741310792045e-06 0.0 0.0 1.1102230246251565e-16 0.27803978573035115 293.37222995048876 0.0 1.1102230246251565e-16 0.0 0.06388765649999405 0.15118578920369094 0.0 0.6388765649999398 1.5118578920369088 0.0 0.0
41.51466666666667 48.07493588888889 11.648138222222222 10.0 0.0 0.9499999999999998 38.21333333333334 41514.666666666664 -0.3 -0.8999999999999999 0.0 1.4666666666666666 -2.0666666666666664 0.0 -14.666666666666666 -20.666666666666668 0.0 100.0 0.3018837156551819 9.938079889913365e-07 3.7646831879769905e-06 0.0 0.0 1.1102230246251565e-16 0.29522119767312693 301.88371565518037 0.0 1.1102230246251565e-16 0.0 0.10540925533894599 0.08164965809277268 0.0 1.0540925533894598 0.816496580927726 0.0 0.0
42.41642857142857 48.07493314285714 11.648127142857144 10.0 0.0 0.9500000000000001 39.07428571428572 42416.42857142857 -0.3 -0.9000000000000001 0.0 1.3857142857142857 -1.928571428571429 0.0 -13.857142857142858 -19.285714285714285 0.0 100.0 0.24507424947371095 6.388765652027281e-07 2.5872528964679052e-06 0.0 0.0 1.1102230246251565e-16 0.2072167355939299 245.07424947370956 0.0 1.1102230246251565e-16 0.0 0.1124858267715973 0.1484614977916181 0.0 1.124858267715973 1.4846149779161804 0.0 0.0
43.50775 48.074929999999995 11.648114249999999 10.0 0.0 0.95 40.0875 43507.75 -0.3 -0.9 0.0 1.5375 -1.9375 0.0 -15.375 -19.375 0.0 100.0 0.3170432738602092 1.224744871200184e-06 4.408798022199349e-06 0.0 0.0 0.0 0.35002678468940074 317.0432738602098 0.0 0.0 0.0 0.13169567191065926 0.0992156741649222 0.0 1.3169567191065923 0.9921567416492215 0.0 0.0
44.537499999999994 48.074927 11.6481 10.0 0.0 0.95 41.205 44537.5 -0.3 -0.9 0.0 1.6749999999999998 -1.8875000000000002 0.0 -16.75 -18.875 0.0 100.0 0.3189682586089097 8.66025404674675e-07 4.123105625709296e-06 0.0 0.0 0.0 0.32380549717384344 318.96825860890925 0.0 0.0 0.0 0.17853571071357127 0.1452368754827781 0.0 1.7853571071357126 1.4523687548277813 0.0 0.0
45.421571428571426 48.07492442857143 11.648088857142858 10.0 0.0 0.9500000000000001 42.09142857142857 45421.57142857143 -0.3 -0.9000000000000001 0.0 1.5999999999999999 -1.742857142857143 0.0 -16.0 -17.428571428571427 0.0 100.0 0.23463153919214247 7.284313592362696e-07 2.948538205614881e-06 0.0 0.0 1.1102230246251565e-16 0.22655359324505225 234.6315391921416 0.0 1.1102230246251565e-16 0.0 0.14142135623730953 0.19166296949998193 0.0 1.4142135623730951 1.9166296949998196 0.0 0.0
46.42488888888889 48.07492177777778 11.648076 10.0 0.0 0.9499999999999998 43.08222222222222 46424.88888888889 -0.3 -0.8999999999999999 0.0 1.8777777777777775 -1.5888888888888888 -0.011111111111111112 -18.77777777777778 -15.88888888888889 -0.1111111111111111 100.0 0.2905976387624671 9.162456938002437e-07 3.4641016148242864e-06 0.0 0.0 1.1102230246251565e-16 0.27344622781485334 290.59763876246654 0.0 1.1102230246251565e-16 0.0 0.13146843962443588 0.10999438818457405 0.03142696805273545 1.314684396244359 1.0999438818457405 0.31426968052735443 0.0
47.406125 48.074918999999994 11.648063375 10.0 0.0 0.95 44.06875 47406.125 -0.3 -0.9 0.0 1.7125 -1.8375 0.0 -17.125 -18.375 0.0 100.0 0.29258863507491184 1.000000000139778e-06 3.805834336883647e-06 0.0 0.0 0.0 0.31146578865101615 292.58863507491196 0.0 0.0 0.0 0.1832859787326897 0.16535945694153692 0.0 1.8328597873268975 1.653594569415369 0.0 0.0
48.44685714285715 48.07491557142857 11.64804942857143 10.0 0.0 0.9500000000000001 45.15571428571428 48446.857142857145 -0.3 -0.9000000000000001 0.0 1.4714285714285713 -1.7285714285714289 0.014285714285714287 -14.714285714285714 -17.285714285714285 0.14285714285714285 100.0 0.2477385883613301 9.035079036735227e-07 3.3319725111313417e-06 0.0 0.0 1.1102230246251565e-16 0.2537072071084602 247.7385883613316 0.0 1.1102230246251565e-16 0.0 0.06998542122237658 0.3493434074467852 0.03499271061118826 0.6998542122237652 3.493434074467852 0.34992710611188266 0.0
49.51811111111111 48.074912444444436 11.648036 10.0 0.0 0.9499999999999998 46.21555555555556 49518.11111111111 -0.3 -0.8999999999999999 0.0 1.4333333333333331 -1.5555555555555556 0.0 -14.333333333333334 -15.555555555555555 0.0 100.0 0.27921534677832965 1.0657403389509904e-06 4.216370213398217e-06 0.0 0.0 1.1102230246251565e-16 0.3211130334429198 279.21534677833023 0.0 1.1102230246251565e-16 0.0 0.08164965809277264 0.16405358955814892 0.0 0.816496580927726 1.640535895581489 0.0 0.0
50.516125 48.074909625000004 11.648022874999999 10.0 0.0 0.95 47.24125 50516.125 -0.3 -0.9 0.0 1.5875 -1.6625 0.0 -15.875 -16.625 0.0 100.0 0.29040249546965086 8.569568258662677e-07 3.655047879339646e-06 0.0 0.0 0.0 0.2873341913173585 290.40249546964986 0.0 0.0 0.0 0.13635890143294646 0.19960899278339142 0.0 1.3635890143294642 1.996089927833914 0.0 0.0
51.495125 48.074906874999996 11.6480105 10.0 0.0 0.95 48.21000000000001 51495.125 -0.3 -0.9 0.0 1.7 -1.475 0.0 -17.0 -14.75 0.0 100.0 0.23343973392505413 7.806247508155815e-07 2.9154759469543216e-06 0.0 0.0 0.0 0.21948804067648095 233.43973392505399 0.0 0.0 0.0 0.07071067811865474 0.22220486043288973 0.0 0.7071067811865476 2.222048604328897 0.0 0.0
52.577000000000005 48.074903500000005 11.647997833333333 10.0 0.0 0.9500000000000001 49.22 52577.0 -0.3 -0.9 0.0 1.25 -1.6833333333333333 -0.016666666666666666 -12.5 -16.833333333333332 -0.16666666666666666 100.0 0.22581039243872872 7.637626162234551e-07 3.287180487296036e-06 0.0 0.0 1.1102230246251565e-16 0.25324559884296827 225.8103924387302 0.0 0.0 0.0 0.25658007197234417 0.06871842709362765 0.037267799624996496 2.565800719723442 0.6871842709362768 0.372677996249965 0.0
53.493125 48.07490075 11.647985625 10.0 0.0 0.95 50.18 53493.125 -0.3 -0.9 0.0 1.25 -1.6625 0.0 -12.5 -16.625 0.0 100.0 0.26072132512512186 8.291561981733905e-07 3.3888604277786244e-06 0.0 0.0 0.0 0.26485845276298103 260.7213251251228 0.0 0.0 0.0 0.050000000000000044 0.14947825928876743 0.0 0.5 1.4947825928876748 0.0 0.0
54.467333333333336 48.074898000000005 11.647973111111112 10.0 0.0 0.9499999999999998 51.15111111111111 54467.333333333336 -0.3 -0.8999999999999999 0.0 1.4111111111111112 -1.588888888888889 0.0 -14.11111111111111 -15.88888888888889 0.0 100.0 0.2671840813621447 8.164965817670489e-07 3.2810717910066815e-06 0.0 0.0 1.1102230246251565e-16 0.265097233500986 267.18408136214504 0.0 1.1102230246251565e-16 0.0 0.1852592444503674 0.4700932400290262 0.0 1.852592444503674 4.700932400290262 0.0 0.0
55.54185714285715 48.07489600000001 11.647965714285712 10.214285714285714 0.0 0.8442857142857143 51.72857142857142 55541.857142857145 -0.042857142857142864 -0.09999999999999999 -0.6857142857142858 -0.15714285714285728 3.1000000000000005 0.014285714285714287 1.5714285714285714 31.0 0.14285714285714285 100.0 0.2686646494750481 7.105427357601002e-15 1.0301575072786552e-06 0.1807015805810504 0.0 0.2014842881401598 0.0699854212223776 268.66464947504915 0.07284313590846836 0.32513733362117264 0.4015276949301485 1.9219462924391013 5.636108079669365 0.09897433186107872 19.219462924391017 56.36108079669364 0.9897433186107869 0.0
56.5255 48.07489650000001 11.647966199999999 11.25 0.0 1.03 51.673 56525.5 0.0 0.0 -1.03 1.44 -0.42000000000000004 -0.09 -14.4 -4.2 -0.9 100.0 0.28927573351389074 4.999999987376214e-07 3.9999999970063985e-07 0.2872281323269012 0.0 0.04582575694955844 0.025317977802344984 289.27573351389157 0.0 0.0 0.04582575694955844 0.18 0.54 0.030000000000000002 1.8 5.4 0.3 0.0
57.5905 48.074896 11.647966 12.3875 0.0 1.0 51.708749999999995 57590.5 0.0 0.0 -1.0 1.125 -0.3125 0.0 -11.25 -3.125 0.0 100.0 0.28433826685833247 0.0 0.0 0.31399641717701166 0.0 0.0 0.0059947894041397064 284.33826685833196 0.0 0.0 0.0 0.19202864369671518 0.18328597873268976 0.0 1.920286436967152 1.8328597873268975 0.0 0.0
58.580714285714286 48.07489600000001 11.647965999999998 13.357142857142858 0.0 1.0 51.71 58580.71428571428 0.0 0.0 -1.0 0.8857142857142858 -0.5142857142857143 0.0 -8.857142857142858 -5.142857142857143 0.0 100.0 0.32078284345185937 7.105427357601002e-15 1.7763568394002505e-15 0.3331972511340171 0.0 0.0 0.020000000000001097 320.7828434518611 0.0 0.0 0.0 0.22314999074019015 0.21665358411575858 0.0 2.231499907401901 2.166535841157586 0.0 0.0
