"avg_OSD.flyTime [s]" "avg_CUSTOM.hSpeed [m/s]" "avg_CUSTOM.distance [m]" "avg_CALC.hSpeed [m/s]" "avg_CALC.distance [m]" avg_OSD.latitude avg_OSD.longitude "avg_OSD.height [m]" "avg_OSD.altitude [m]" "avg_OSD.xSpeed [m/s]" "avg_OSD.ySpeed [m/s]" "avg_OSD.zSpeed [m/s]" avg_OSD.pitch avg_OSD.roll avg_OSD.yaw "stdDev_OSD.flyTime [s]" "stdDev_CUSTOM.hSpeed [m/s]" "stdDev_CUSTOM.distance [m]" "stdDev_CALC.hSpeed [m/s]" "stdDev_CALC.distance [m]" stdDev_OSD.latitude stdDev_OSD.longitude "stdDev_OSD.height [m]" "stdDev_OSD.altitude [m]" "stdDev_OSD.xSpeed [m/s]" "stdDev_OSD.ySpeed [m/s]" "stdDev_OSD.zSpeed [m/s]" stdDev_OSD.pitch stdDev_OSD.roll stdDev_OSD.yaw
0.45 0.0 0.016 0.030000000000000006 0.0 48.074673000000004 11.6492326 0.0 530.2 0.0 0.0 0.0 2.63 -3.6 49.67 0.2872281323269014 0.0 0.011135528725660045 0.02097617696340303 0.0 7.105427357601002e-15 4.898979490602293e-07 0.0 0.0 0.0 0.0 0.0 0.04582575694955844 0.0 0.12688577540449425
1.45 0.0 0.051000000000000004 0.036 1.527 48.074673000000004 11.649232 0.0 530.2 0.0 0.0 0.0 2.69 -3.5799999999999996 49.27 0.2872281323269014 0.0 0.013000000000000001 0.016852299546352718 0.01100000000000001 7.105427357601002e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.03000000000000003 0.040000000000000036 0.10999999999999846
2.45 0.0 0.099 0.072 1.4819999999999998 48.07467340000001 11.649232 0.030000000000000006 530.2300000000001 0.0 0.0 -0.21000000000000002 0.9400000000000001 -0.5599999999999999 50.25 0.2872281323269014 0.0 0.023853720883753128 0.029257477676655586 0.022271057451320107 4.898979508006966e-07 0.0 0.045825756949558406 0.045825756949516724 0.0 0.0 0.20712315177207982 1.2224565431948902 1.6889049706836674 0.6830080526611666
3.45 0.0 0.174 0.047 0.05 48.074674 11.649232 0.37 530.57 0.0 0.0 -0.4 0.72 -0.54 50.660000000000004 0.2872281323269014 0.0 0.018547236990991405 0.024515301344262524 0.006324555320336757 0.0 0.0 0.1268857754044952 0.12688577540450344 0.0 0.0 0.0 0.18867962264113208 0.23748684174075835 0.1356465996625053
4.45 0.0 0.219 0.018000000000000002 0.05 48.074674 11.649232 0.97 531.17 0.0 0.0 -0.95 0.9899999999999999 -0.8299999999999998 50.56 0.2872281323269015 0.0 0.008306623862918083 0.019390719429665314 0.007745966692414833 0.0 0.0 0.2968164415931166 0.29681644159313353 0.0 0.0 0.4695742752749558 0.19723082923316018 0.1791647286716892 0.06633249580710894
5.45 0.0 0.281 0.076 0.08299999999999999 48.074674 11.649232 2.63 532.83 0.0 0.0 -1.95 1.02 -1.44 50.52 0.2872281323269015 0.0 0.016999999999999994 0.043405068828421406 0.007810249675906654 0.0 0.0 0.5496362433464518 0.5496362433464543 0.0 0.0 0.0670820393249937 0.116619037896906 0.1496662954709577 0.06000000000000085
6.45 0.0 0.34199999999999997 0.03700000000000001 0.119 48.074674900000005 11.649232 4.6 534.8 0.0 0.0 -1.9299999999999997 0.9700000000000001 -1.3 50.489999999999995 0.2872281323269015 0.0 0.0097979589711327 0.03407345007480164 0.0029999999999999983 2.9999999924257285e-07 0.0 0.5744562646538028 0.5744562646538108 0.0 0.0 0.04582575694955844 0.14866068747318503 0.16124515496597094 0.030000000000000426
7.450000000000001 0.0 0.374 0.041999999999999996 0.11500000000000002 48.074674300000005 11.6492311 6.68 536.88 0.0 0.0 -1.9599999999999997 0.9099999999999999 -1.9300000000000002 50.519999999999996 0.28722813232690153 0.0 0.01200000000000001 0.010770329614269008 0.006708203932499366 4.582575683385948e-07 2.999999997754799e-07 0.6029925372672533 0.6029925372672518 0.0 0.0 0.048989794855663606 0.3080584360149873 0.3195309061734091 0.04000000000000057
8.45 0.0 0.413 0.026000000000000002 0.11600000000000002 48.074674 11.649231 8.7 538.9 0.0 0.0 -1.92 1.15 -1.8800000000000001 50.519999999999996 0.28722813232690153 0.0 0.0134536240470737 0.026153393661244043 0.008 0.0 0.0 0.5744562646538028 0.574456264653795 0.0 0.0 0.040000000000000036 0.34423828956117014 0.23151673805580447 0.04000000000000057
9.45 0.0 0.4640000000000001 0.03300000000000001 0.12999999999999998 48.074675 11.649231 10.64 540.8399999999999 0.0 0.0 -1.52 1.9100000000000001 -2.29 50.36 0.28722813232690153 0.0 0.007999999999999985 0.029681644159311665 2.7755575615628914e-17 0.0 0.0 0.4983974317750844 0.49839743177507645 0.0 0.0 0.4853864439804639 0.3176476034853718 0.3080584360149873 0.1280624847486561
10.45 0.0 0.518 0.08299999999999999 0.11900000000000002 48.0746745 11.649231 11.440000000000001 541.64 0.0 0.0 -0.12 1.7100000000000002 -2.15 50.43 0.28722813232690153 0.0 0.02315167380558047 0.027221315177632398 0.021656407827707717 4.999999987376214e-07 0.0 0.06633249580710776 0.06633249580712308 0.0 0.0 0.132664991614216 0.13 0.2376972864800942 0.06403124237432939
11.45 0.0 0.6220000000000001 0.09100000000000001 0.05 48.0746735 11.6492311 11.5 541.7 0.0 0.0 0.0 1.5399999999999998 -2.6900000000000004 50.510000000000005 0.28722813232690153 0.0 0.031240998703626646 0.047 0.010954451150103324 5.00000002290335e-07 2.999999997754799e-07 0.0 0.0 0.0 0.0 0.0 0.11135528725660047 0.19209372712298542 0.053851648071345806
