"Time (s)" "Packet Inter-arrival (ms)" "avg_OSD.flyTime [s]" "Distance (m)" "Height (m)" "Speed - x (m/s)" "Speed - y (m/s)" "Speed - z (m/s)" "Speed (m/s)"
0.0 0.236 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.207 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.216 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.224 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.22 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.212 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 27.093 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 12.288 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.601 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.22 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.229 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.218 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.218 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.516 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.048 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.534 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.208 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.214 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.233 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.232 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.107 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 19.332 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.513 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.195 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.15 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.101 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.392 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.074 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.084 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.364 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.158 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.125 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.15 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.161 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.155 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.129 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 1.137 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.054 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.895 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 3.212 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.57 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.218 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.222 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.284 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.162 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 8.191 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.55 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.23 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.226 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.21 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.219 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.667 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.212 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.222 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.224 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.227 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.231 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.228 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 38.235 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.536 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.227 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 5.145 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 5.801 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.518 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 7.984 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 22.424 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.54 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.26 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.107 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 40.64 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.471 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.179 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 11.525 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 10.188 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 15.286 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.208 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 2.26 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.612 0.45 1.564 0.0 0.0 0.0 0.0 0.0
0.0 0.042 0.45 1.564 0.0 0.0 0.0 0.0 0.0
1.0 44.886 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 32.467 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 4.899 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.56 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.501 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 27.817 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 13.91 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.421 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.133 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 40.993 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.49 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.119 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 15.743 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 8.785 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 16.484 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.532 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.052 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 40.758 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.422 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.22 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.134 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 21.039 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 12.034 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 8.911 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.096 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.085 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.989 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 7.603 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 10.023 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 22.504 1.45 1.773 0.0 0.0 0.0 0.0 0.0
