"avg_OSD.flyTime [s]" "avg_CUSTOM.distance [m]" "avg_CALC.hSpeed [m/s]" "avg_CALC.distance [m]" avg_OSD.latitude avg_OSD.longitude "avg_OSD.height [m]" "avg_OSD.altitude [m]" "avg_OSD.xSpeed [m/s]" "avg_OSD.ySpeed [m/s]" "avg_OSD.zSpeed [m/s]" avg_OSD.pitch avg_OSD.roll avg_OSD.yaw "stdDev_OSD.flyTime [s]" "stdDev_CUSTOM.distance [m]" "stdDev_CALC.hSpeed [m/s]" "stdDev_CALC.distance [m]" stdDev_OSD.latitude stdDev_OSD.longitude "stdDev_OSD.height [m]" "stdDev_OSD.altitude [m]" "stdDev_OSD.xSpeed [m/s]" "stdDev_OSD.ySpeed [m/s]" "stdDev_OSD.zSpeed [m/s]" stdDev_OSD.pitch stdDev_OSD.roll stdDev_OSD.yaw
0.5 0.7211111111111111 0.060000000000000005 0.0 48.04823433333333 11.654896777777777 0.0 572.1 0.0 0.0 0.0 0.6 0.5 -35.3 0.25819888974716115 0.009938079899999074 0.05497474167490214 0.0 4.714045196008497e-07 4.157397093304093e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.45 0.75 0.05500000000000001 0.6759999999999999 48.048233999999994 11.654896000000003 0.0 572.1000000000001 0.0 0.0 0.0 0.5999999999999999 0.42000000000000004 -35.3 0.2872281323269014 0.004472135954999583 0.025 0.2253530563360524 7.105427357601002e-15 1.7763568394002505e-15 0.0 1.1368683772161603e-13 0.0 0.0 0.0 1.1102230246251565e-16 0.039999999999999994 0.0
2.45 0.75 0.05700000000000001 0.75 48.048233999999994 11.654896000000003 0.0 572.1000000000001 0.0 0.0 0.0 0.71 0.44000000000000006 -35.269999999999996 0.2872281323269014 0.0 0.017349351572897475 0.0 7.105427357601002e-15 1.7763568394002505e-15 0.0 1.1368683772161603e-13 0.0 0.0 0.0 0.07000000000000003 0.04898979485566354 0.04582575694955579
3.45 0.754 0.05 0.754 48.048233999999994 11.654896000000003 0.06999999999999999 572.17 0.0 0.0 0.0 0.9199999999999999 0.5 -35.2 0.2872281323269014 0.004898979485566361 0.034641016151377546 0.004898979485566361 7.105427357601002e-15 1.7763568394002505e-15 0.045825756949558406 0.04582575694956882 0.0 0.0 0.0 0.1077032961426901 0.0 0.0
4.5 0.7533333333333333 0.08444444444444445 0.7533333333333333 48.048233333333336 11.654895 0.1 572.2 0.0 0.0 0.0 1.1333333333333333 0.5666666666666667 -35.2 0.2581988897471612 0.006666666666666673 0.04809969071536303 0.006666666666666673 4.714045196008497e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.047140452079103105 0.04714045207910316 0.0
5.45 0.748 0.054000000000000006 0.748 48.0482334 11.654895 0.1 572.2 0.0 0.0 0.0 1.18 0.5999999999999999 -35.2 0.2872281323269015 0.006000000000000005 0.03292415526630866 0.006000000000000005 4.898979473197622e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.03999999999999995 1.1102230246251565e-16 0.0
6.45 0.754 0.06000000000000001 0.754 48.048232999999996 11.6548948 0.1 572.2 0.0 0.0 0.0 1.06 0.5999999999999999 -35.17 0.2872281323269015 0.006633249580710806 0.051185935568278905 0.006633249580710806 7.105427357601002e-15 3.999999997006398e-07 0.0 0.0 0.0 0.0 0.0 0.048989794855663606 1.1102230246251565e-16 0.04582575694955905
7.450000000000001 0.7559999999999999 0.07100000000000002 0.7559999999999999 48.048232999999996 11.654894 0.1 572.2 0.0 0.0 0.0 0.9100000000000001 0.5999999999999999 -35.10000000000001 0.28722813232690153 0.009165151389911688 0.04253234063627347 0.009165151389911688 7.105427357601002e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.06999999999999999 1.1102230246251565e-16 7.105427357601002e-15
8.488888888888889 0.7488888888888889 0.06666666666666668 0.7488888888888889 48.048233 11.654893777777778 0.1 572.2 0.0 0.0 0.0 0.8111111111111111 0.6 -35.111111111111114 0.2766644355108608 0.007370277311900895 0.02403700850309326 0.007370277311900895 0.0 4.157397100689113e-07 0.0 0.0 0.0 0.0 0.0 0.03142696805273544 0.0 0.03142696805273589
9.45 0.759 0.066 0.759 48.048232999999996 11.6548932 0.1 572.2 0.0 0.0 0.0 0.79 0.64 -35.120000000000005 0.28722813232690153 0.008306623862918082 0.047791212581394085 0.008306623862918082 7.105427357601002e-15 4.0000000041118254e-07 0.0 0.0 0.0 0.0 0.0 0.030000000000000023 0.04898979485566354 0.04000000000000057
10.45 0.7339999999999999 0.05600000000000001 0.7339999999999999 48.048232999999996 11.654893 0.1 572.2 0.0 0.0 0.0 0.8 0.74 -35.12 0.28722813232690153 0.006633249580710806 0.019078784028338916 0.006633249580710806 7.105427357601002e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0447213595499958 0.06633249580710804 0.04000000000000057
11.45 0.6169999999999999 0.20099999999999998 0.7749999999999999 48.0482328 11.6548934 0.14 572.24 -0.08 0.06999999999999999 -0.12000000000000002 3.1499999999999995 1.1700000000000002 -35.24 0.28722813232690153 0.27014995835646544 0.157 0.05608029957123982 4.00000001832268e-07 4.898979490602293e-07 0.066332495807108 0.06633249580707509 0.1077032961426901 0.07810249675906654 0.1777638883463118 1.8073461206974164 0.30675723300355934 0.1799999999999995
12.444444444444445 0.41222222222222216 0.6233333333333333 0.6755555555555556 48.04822911111111 11.654894222222222 0.6444444444444445 572.7444444444445 -0.2777777777777778 0.044444444444444446 -0.5111111111111111 -1.7888888888888888 0.9555555555555555 -35.42222222222222 0.3022549001941211 0.13725708059273117 0.25285041691350507 0.2684983389607678 1.369869778372883e-06 7.856742013444678e-07 0.20608041101101565 0.2060804110110121 0.09162456945817024 0.06849348892187751 0.03142696805273544 1.043971524137453 0.7544108976341313 0.06285393610547178
