Time (s),Packet Interval (ms),avg_OSD.flyTime [s],Distance (m),Height (m),Speed - x (m/s),Speed - y (m/s),Speed - z (m/s),Speed (m/s)
1,0.517,1.45,1.773,0,0,0,0,0
1,17.636,1.45,1.773,0,0,0,0,0
1,2.736,1.45,1.773,0,0,0,0,0
1,23.762,1.45,1.773,0,0,0,0,0
1,20.286,1.45,1.773,0,0,0,0,0
1,24.688,1.45,1.773,0,0,0,0,0
1,7.626,1.45,1.773,0,0,0,0,0
1,11.86,1.45,1.773,0,0,0,0,0
1,0.948,1.45,1.773,0,0,0,0,0
1,7.697,1.45,1.773,0,0,0,0,0
1,16.842,1.45,1.773,0,0,0,0,0
1,20.587,1.45,1.773,0,0,0,0,0
1,34.124,1.45,1.773,0,0,0,0,0
1,9.261,1.45,1.773,0,0,0,0,0
2,9.086,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,0.712,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,10.597,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,12.281,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,12.854,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,19.982,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,0.262,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,20.86,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,1.732,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,6.115,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,6.343,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,10.333,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,0.062,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,5.976,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,2.743,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,19.239,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,27.007,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,21.719,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,12.625,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,8.614,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,12.33,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,7.931,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,24.678,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,20.326,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,25.57,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,1.547,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,0.06,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,11.349,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,0.065,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,7.248,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,1.57,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,20.032,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,20.27,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,20.271,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,19.578,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,2.348,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,10.354,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,8.059,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,2.427,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,20.263,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,7.629,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,16.172,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,20.267,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,15.625,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,13.865,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,1.136,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,2.893,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,0.059,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,20.539,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,10.16,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,22.331,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,10.444,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,7.632,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,18.13,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,2.845,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,0.058,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,7.529,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,0.634,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,8.291,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,6.208,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,0.059,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,2.974,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,32.295,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,32.55,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,4.722,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,0.759,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,8.748,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,11.503,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,9.778,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,16.952,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,15.161,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,12.031,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,20.666,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,4.834,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,20.192,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,13.039,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,10.476,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,21.829,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,23.17,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,10.533,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,11.754,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,8.13,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,0.626,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,23.11,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,10.712,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
2,30.208,2.45,1.814,0.05,0.02,0,-0.18,0.181107703
3,11.226,3.45,0.31,0.37,0,0,-0.36,0.36
3,6.766,3.45,0.31,0.37,0,0,-0.36,0.36
