Time "Packet Inter-arrival (ms)" "Time (s)" "avg_OSD.height [m]"
3.089477 15.06 3.0 0.42
3.114003 24.526 3.0 0.42
3.143129 29.126 3.0 0.42
3.144067 0.938 3.0 0.42
3.144139 0.072 3.0 0.42
3.144191 0.052 3.0 0.42
3.144242 0.051 3.0 0.42
3.167009 22.767 3.0 0.42
3.188551 21.542 3.0 0.42
3.212497 23.946 3.0 0.42
3.229125 16.628 3.0 0.42
3.233186 4.061 3.0 0.42
3.251341 18.155 3.0 0.42
3.259279 7.938 3.0 0.42
3.288046 28.767 3.0 0.42
3.311431 23.385 3.0 0.42
3.333657 22.226 3.0 0.42
3.354354 20.697 3.0 0.42
3.356468 2.114 3.0 0.42
3.357995 1.527 3.0 0.42
3.360011 2.016 3.0 0.42
3.360707 0.696 3.0 0.42
3.392499 31.792 3.0 0.42
3.404613 12.114 3.0 0.42
3.429724 25.111 3.0 0.42
3.455412 25.688 3.0 0.42
3.458471 3.059 3.0 0.42
3.481696 23.225 3.0 0.42
3.511715 30.019 4.0 0.86
3.521934 10.219 4.0 0.86
3.543404 21.47 4.0 0.86
3.556951 13.547 4.0 0.86
3.582593 25.642 4.0 0.86
3.594013 11.42 4.0 0.86
3.615777 21.764 4.0 0.86
3.637032 21.255 4.0 0.86
3.670136 33.104 4.0 0.86
3.686572 16.436 4.0 0.86
3.707388 20.816 4.0 0.86
3.727748 20.36 4.0 0.86
3.748339 20.591 4.0 0.86
3.772921 24.582 4.0 0.86
3.796671 23.75 4.0 0.86
3.816959 20.288 4.0 0.86
3.840313 23.354 4.0 0.86
3.861148 20.835 4.0 0.86
3.869564 8.416 4.0 0.86
3.882205 12.641 4.0 0.86
3.903999 21.794 4.0 0.86
3.912517 8.518 4.0 0.86
3.924594 12.077 4.0 0.86
3.945399 20.805 4.0 0.86
3.965696 20.297 4.0 0.86
3.971887 6.191 4.0 0.86
3.972032 0.145 4.0 0.86
4.006436 34.404 4.0 0.86
4.03754 31.104 4.0 0.86
4.072833 35.293 4.0 0.86
4.086319 13.486 4.0 0.86
4.129791 43.472 4.0 0.86
4.14254 12.749 4.0 0.86
4.163256 20.716 4.0 0.86
4.174426 11.17 4.0 0.86
4.174498 0.072 4.0 0.86
4.174547 0.049 4.0 0.86
4.176842 2.295 4.0 0.86
4.186847 10.005 4.0 0.86
4.207122 20.275 4.0 0.86
4.231781 24.659 4.0 0.86
4.252553 20.772 4.0 0.86
4.255685 3.132 4.0 0.86
4.255983 0.298 4.0 0.86
4.277152 21.169 4.0 0.86
4.282657 5.505 4.0 0.86
4.292852 10.195 4.0 0.86
4.317717 24.865 4.0 0.86
4.338001 20.284 4.0 0.86
4.359585 21.584 4.0 0.86
4.384909 25.324 4.0 0.86
4.418695 33.786 4.0 0.86
4.428917 10.222 4.0 0.86
4.447705 18.788 4.0 0.86
4.448525 0.82 4.0 0.86
4.448586 0.061 4.0 0.86
4.451205 2.619 4.0 0.86
4.454148 2.943 4.0 0.86
4.466937 12.789 4.0 0.86
4.478617 11.68 4.0 0.86
4.485846 7.229 4.0 0.86
4.502904 17.058 5.0 1.31
4.523186 20.282 5.0 1.31
4.552089 28.903 5.0 1.31
4.572584 20.495 5.0 1.31
4.586647 14.063 5.0 1.31
4.593951 7.304 5.0 1.31
4.617831 23.88 5.0 1.31
4.633996 16.165 5.0 1.31
4.634166 0.17 5.0 1.31
4.634508 0.342 5.0 1.31
4.635321 0.813 5.0 1.31
4.636406 1.085 5.0 1.31
4.636966 0.56 5.0 1.31
4.641661 4.695 5.0 1.31
4.662119 20.458 5.0 1.31
4.687562 25.443 5.0 1.31
4.7111 23.538 5.0 1.31
4.713711 2.611 5.0 1.31
4.734193 20.482 5.0 1.31
4.755839 21.646 5.0 1.31
4.78253 26.691 5.0 1.31
4.802795 20.265 5.0 1.31
4.824845 22.05 5.0 1.31
4.853387 28.542 5.0 1.31
4.873686 20.299 5.0 1.31
4.890511 16.825 5.0 1.31
4.893946 3.435 5.0 1.31
4.920364 26.418 5.0 1.31
4.940645 20.281 5.0 1.31
4.963118 22.473 5.0 1.31
4.983777 20.659 5.0 1.31
4.995176 11.399 5.0 1.31
4.995249 0.073 5.0 1.31
5.005534 10.285 5.0 1.31
5.035268 29.734 5.0 1.31
5.055931 20.663 5.0 1.31
5.078236 22.305 5.0 1.31
5.116394 38.158 5.0 1.31
5.130637 14.243 5.0 1.31
5.151904 21.267 5.0 1.31
5.173841 21.937 5.0 1.31
5.19706 23.219 5.0 1.31
5.198123 1.063 5.0 1.31
5.198195 0.072 5.0 1.31
5.198236 0.041 5.0 1.31
5.198274 0.038 5.0 1.31
5.231918 33.644 5.0 1.31
5.245834 13.916 5.0 1.31
5.268275 22.441 5.0 1.31
5.286741 18.466 5.0 1.31
5.292095 5.354 5.0 1.31
5.300201 8.106 5.0 1.31
5.315442 15.241 5.0 1.31
5.346311 30.869 5.0 1.31
5.357117 10.806 5.0 1.31
5.381376 24.259 5.0 1.31
5.404021 22.645 5.0 1.31
5.42605 22.029 5.0 1.31
5.434967 8.917 5.0 1.31
5.451674 16.707 5.0 1.31
5.480799 29.125 5.0 1.31
5.489514 8.715 5.0 1.31
5.49088 1.366 5.0 1.31
5.492249 1.369 5.0 1.31
5.493992 1.743 5.0 1.31
5.502002 8.01 6.0 1.4
5.509481 7.479 6.0 1.4
5.533363 23.882 6.0 1.4
5.557477 24.114 6.0 1.4
5.597504 40.027 6.0 1.4
5.605785 8.281 6.0 1.4
5.609289 3.504 6.0 1.4
5.630748 21.459 6.0 1.4
5.652882 22.134 6.0 1.4
5.685442 32.56 6.0 1.4
5.695616 10.174 6.0 1.4
5.716554 20.938 6.0 1.4
5.737281 20.727 6.0 1.4
5.758315 21.034 6.0 1.4
5.778805 20.49 6.0 1.4
5.799081 20.276 6.0 1.4
5.830975 31.894 6.0 1.4
5.851668 20.693 6.0 1.4
5.865927 14.259 6.0 1.4
5.888344 22.417 6.0 1.4
5.910416 22.072 6.0 1.4
5.921242 10.826 6.0 1.4
5.931458 10.216 6.0 1.4
5.951745 20.287 6.0 1.4
5.973109 21.364 6.0 1.4
5.993391 20.282 6.0 1.4
6.013155 19.764 6.0 1.4
6.013625 0.47 6.0 1.4
6.017689 4.064 6.0 1.4
6.03894 21.251 6.0 1.4
6.059467 20.527 6.0 1.4
6.083679 24.212 6.0 1.4
6.117475 33.796 6.0 1.4
6.129031 11.556 6.0 1.4
6.159133 30.102 6.0 1.4
6.186144 27.011 6.0 1.4
6.207963 21.819 6.0 1.4
6.216238 8.275 6.0 1.4
6.218084 1.846 6.0 1.4
6.22057 2.486 6.0 1.4
6.221521 0.951 6.0 1.4
6.235826 14.305 6.0 1.4
6.260834 25.008 6.0 1.4
6.271307 10.473 6.0 1.4
6.300167 28.86 6.0 1.4
6.303014 2.847 6.0 1.4
6.323767 20.753 6.0 1.4
6.36319 39.423 6.0 1.4
6.375626 12.436 6.0 1.4
6.399787 24.161 6.0 1.4
6.424591 24.804 6.0 1.4
6.44927 24.679 6.0 1.4
6.485377 36.107 6.0 1.4
6.511985 26.608 7.0 1.4
6.526307 14.322 7.0 1.4
6.53364 7.333 7.0 1.4
6.54419 10.55 7.0 1.4
6.584128 39.938 7.0 1.4
6.598142 14.014 7.0 1.4
6.618585 20.443 7.0 1.4
6.629491 10.906 7.0 1.4
6.639665 10.174 7.0 1.4
6.664814 25.149 7.0 1.4
6.664886 0.072 7.0 1.4
6.667637 2.751 7.0 1.4
6.667705 0.068 7.0 1.4
6.668269 0.564 7.0 1.4
6.670624 2.355 7.0 1.4
6.672089 1.465 7.0 1.4
6.676494 4.405 7.0 1.4
6.686914 10.42 7.0 1.4
6.707436 20.522 7.0 1.4
6.730567 23.131 7.0 1.4
6.733951 3.384 7.0 1.4
6.755155 21.204 7.0 1.4
6.775762 20.607 7.0 1.4
6.796042 20.28 7.0 1.4
6.821097 25.055 7.0 1.4
6.843111 22.014 7.0 1.4
6.870513 27.402 7.0 1.4
6.891208 20.695 7.0 1.4
6.911488 20.28 7.0 1.4
6.931822 20.334 7.0 1.4
6.934338 2.516 7.0 1.4
6.953225 18.887 7.0 1.4
6.973503 20.278 7.0 1.4
6.994358 20.855 7.0 1.4
7.010683 16.325 7.0 1.4
7.021272 10.589 7.0 1.4
7.035376 14.104 7.0 1.4
7.035476 0.1 7.0 1.4
7.043785 8.309 7.0 1.4
7.064059 20.274 7.0 1.4
7.084484 20.425 7.0 1.4
7.105714 21.23 7.0 1.4
7.126851 21.137 7.0 1.4
7.147248 20.397 7.0 1.4
7.167537 20.289 7.0 1.4
7.187891 20.354 7.0 1.4
7.209551 21.66 7.0 1.4
7.229864 20.313 7.0 1.4
7.238437 8.573 7.0 1.4
7.238506 0.069 7.0 1.4
7.238814 0.308 7.0 1.4
7.239558 0.744 7.0 1.4
7.253575 14.017 7.0 1.4
7.281559 27.984 7.0 1.4
7.326081 44.522 7.0 1.4
7.326551 0.47 7.0 1.4
7.336369 9.818 7.0 1.4
7.348981 12.612 7.0 1.4
7.36653 17.549 7.0 1.4
7.378428 11.898 7.0 1.4
7.400369 21.941 7.0 1.4
7.422746 22.377 7.0 1.4
7.45737 34.624 7.0 1.4
7.468495 11.125 7.0 1.4
7.490661 22.166 7.0 1.4
7.51348 22.819 8.0 1.42
7.534056 20.576 8.0 1.42
7.550131 16.075 8.0 1.42
7.561981 11.85 8.0 1.42
7.587532 25.551 8.0 1.42
7.594799 7.267 8.0 1.42
7.596622 1.823 8.0 1.42
7.598026 1.404 8.0 1.42
7.608682 10.656 8.0 1.42
7.630124 21.442 8.0 1.42
7.656833 26.709 8.0 1.42
7.662351 5.518 8.0 1.42
7.674589 12.238 8.0 1.42
7.706031 31.442 8.0 1.42
7.71666 10.629 8.0 1.42
7.736951 20.291 8.0 1.42
7.76724 30.289 8.0 1.42
7.78749 20.25 8.0 1.42
7.78858 1.09 8.0 1.42
7.809083 20.503 8.0 1.42
7.831165 22.082 8.0 1.42
7.851911 20.746 8.0 1.42
7.873338 21.427 8.0 1.42
7.89363 20.292 8.0 1.42
7.915097 21.467 8.0 1.42
7.935454 20.357 8.0 1.42
7.955788 20.334 8.0 1.42
7.965209 9.421 8.0 1.42
7.977531 12.322 8.0 1.42
8.003149 25.618 8.0 1.42
8.031159 28.01 8.0 1.42
8.056636 25.477 8.0 1.42
8.062729 6.093 8.0 1.42
8.062799 0.07 8.0 1.42
8.08844 25.641 8.0 1.42
8.099806 11.366 8.0 1.42
8.120531 20.725 8.0 1.42
8.140867 20.336 8.0 1.42
8.165185 24.318 8.0 1.42
8.190033 24.848 8.0 1.42
8.211257 21.224 8.0 1.42
8.234775 23.518 8.0 1.42
8.25632 21.545 8.0 1.42
8.264214 7.894 8.0 1.42
8.264659 0.445 8.0 1.42
8.26577 1.111 8.0 1.42
8.265943 0.173 8.0 1.42
8.27867 12.727 8.0 1.42
8.298965 20.295 8.0 1.42
8.323447 24.482 8.0 1.42
8.344073 20.626 8.0 1.42
8.353211 9.138 8.0 1.42
8.368828 15.617 8.0 1.42
8.370525 1.697 8.0 1.42
8.407102 36.577 8.0 1.42
8.422728 15.626 8.0 1.42
8.443273 20.545 8.0 1.42
8.467679 24.406 8.0 1.42
8.488641 20.962 8.0 1.42
8.510744 22.103 9.0 1.5
8.528821 18.077 9.0 1.5
8.534078 5.257 9.0 1.5
8.561845 27.767 9.0 1.5
8.581187 19.342 9.0 1.5
8.593003 11.816 9.0 1.5
8.603263 10.26 9.0 1.5
8.623562 20.299 9.0 1.5
8.643855 20.293 9.0 1.5
8.664746 20.891 9.0 1.5
8.686346 21.6 9.0 1.5
8.687256 0.91 9.0 1.5
8.712966 25.71 9.0 1.5
8.738093 25.127 9.0 1.5
8.758388 20.295 9.0 1.5
8.759709 1.321 9.0 1.5
8.762378 2.669 9.0 1.5
8.763756 1.378 9.0 1.5
8.771119 7.363 9.0 1.5
8.794388 23.269 9.0 1.5
8.795119 0.731 9.0 1.5
8.795189 0.07 9.0 1.5
8.806197 11.008 9.0 1.5
8.831187 24.99 9.0 1.5
8.836743 5.556 9.0 1.5
8.875763 39.02 9.0 1.5
8.886412 10.649 9.0 1.5
8.907872 21.46 9.0 1.5
8.92956 21.688 9.0 1.5
8.960599 31.039 9.0 1.5
8.97138 10.781 9.0 1.5
8.99138 20.0 9.0 1.5
9.000059 8.679 9.0 1.5
9.023333 23.274 9.0 1.5
9.044874 21.541 9.0 1.5
9.065157 20.283 9.0 1.5
9.090929 25.772 9.0 1.5
9.092882 1.953 9.0 1.5
9.094201 1.319 9.0 1.5
9.115096 20.895 9.0 1.5
9.139523 24.427 9.0 1.5
9.159861 20.338 9.0 1.5
9.184482 24.621 9.0 1.5
9.204762 20.28 9.0 1.5
9.225024 20.262 9.0 1.5
9.250753 25.729 9.0 1.5
9.271032 20.279 9.0 1.5
9.293654 22.622 9.0 1.5
9.299795 6.141 9.0 1.5
9.300072 0.277 9.0 1.5
9.300465 0.393 9.0 1.5
9.30053 0.065 9.0 1.5
9.314012 13.482 9.0 1.5
9.334301 20.289 9.0 1.5
9.362738 28.437 9.0 1.5
9.382004 19.266 9.0 1.5
9.384118 2.114 9.0 1.5
9.401273 17.155 9.0 1.5
9.404812 3.539 9.0 1.5
9.42957 24.758 9.0 1.5
9.449854 20.284 9.0 1.5
9.460023 10.169 9.0 1.5
9.460106 0.083 9.0 1.5
9.460723 0.617 9.0 1.5
9.460791 0.068 9.0 1.5
9.460851 0.06 9.0 1.5
9.497465 36.614 9.0 1.5
9.511968 14.503 10.0 1.5
9.539336 27.368 10.0 1.5
9.559624 20.288 10.0 1.5
9.585342 25.718 10.0 1.5
9.605512 20.17 10.0 1.5
9.607143 1.631 10.0 1.5
9.629202 22.059 10.0 1.5
9.650506 21.304 10.0 1.5
9.675163 24.657 10.0 1.5
9.698552 23.389 10.0 1.5
9.706543 7.991 10.0 1.5
9.722571 16.028 10.0 1.5
9.755504 32.933 10.0 1.5
9.767426 11.922 10.0 1.5
9.794593 27.167 10.0 1.5
9.815357 20.764 10.0 1.5
9.847342 31.985 10.0 1.5
9.872734 25.392 10.0 1.5
9.886873 14.139 10.0 1.5
9.91278 25.907 10.0 1.5
9.938263 25.483 10.0 1.5
9.958543 20.28 10.0 1.5
9.980657 22.114 10.0 1.5
10.002467 21.81 10.0 1.5
10.011396 8.929 10.0 1.5
10.024414 13.018 10.0 1.5
10.050192 25.778 10.0 1.5
10.072139 21.947 10.0 1.5
10.092801 20.662 10.0 1.5
10.098674 5.873 10.0 1.5
10.113696 15.022 10.0 1.5
10.11377 0.074 10.0 1.5
10.119803 6.033 10.0 1.5
10.140482 20.679 10.0 1.5
10.179168 38.686 10.0 1.5
10.189861 10.693 10.0 1.5
10.21146 21.599 10.0 1.5
10.233114 21.654 10.0 1.5
10.253402 20.288 10.0 1.5
10.275445 22.043 10.0 1.5
10.295819 20.374 10.0 1.5
10.316771 20.952 10.0 1.5
10.316852 0.081 10.0 1.5
10.316899 0.047 10.0 1.5
10.316944 0.045 10.0 1.5
10.317934 0.99 10.0 1.5
10.338212 20.278 10.0 1.5
10.359016 20.804 10.0 1.5
10.379303 20.287 10.0 1.5
10.401343 22.04 10.0 1.5
10.408997 7.654 10.0 1.5
10.418161 9.164 10.0 1.5
