"Time (s)" "Packet Inter-arrival (ms)" "avg_OSD.flyTime [s]" "Distance (m)" "Height (m)"
0.0 9.163 0.45 0.886 0.0
0.0 6.682 0.45 0.886 0.0
0.0 3.32 0.45 0.886 0.0
0.0 3.066 0.45 0.886 0.0
0.0 0.523 0.45 0.886 0.0
0.0 0.197 0.45 0.886 0.0
0.0 0.551 0.45 0.886 0.0
0.0 0.038 0.45 0.886 0.0
0.0 0.368 0.45 0.886 0.0
0.0 0.199 0.45 0.886 0.0
0.0 0.202 0.45 0.886 0.0
0.0 0.093 0.45 0.886 0.0
0.0 11.7 0.45 0.886 0.0
0.0 3.894 0.45 0.886 0.0
0.0 15.491 0.45 0.886 0.0
0.0 0.526 0.45 0.886 0.0
0.0 0.204 0.45 0.886 0.0
0.0 0.205 0.45 0.886 0.0
0.0 0.149 0.45 0.886 0.0
0.0 0.036 0.45 0.886 0.0
1.0 0.713 1.45 1.134 0.0
1.0 0.181 1.45 1.134 0.0
1.0 0.206 1.45 1.134 0.0
1.0 0.97 1.45 1.134 0.0
1.0 5.438 1.45 1.134 0.0
1.0 12.704 1.45 1.134 0.0
1.0 18.395 1.45 1.134 0.0
1.0 0.495 1.45 1.134 0.0
1.0 0.186 1.45 1.134 0.0
1.0 0.192 1.45 1.134 0.0
1.0 0.742 1.45 1.134 0.0
1.0 0.173 1.45 1.134 0.0
1.0 0.167 1.45 1.134 0.0
1.0 0.156 1.45 1.134 0.0
1.0 0.191 1.45 1.134 0.0
1.0 0.195 1.45 1.134 0.0
1.0 0.228 1.45 1.134 0.0
1.0 0.123 1.45 1.134 0.0
1.0 0.001 1.45 1.134 0.0
1.0 2.85 1.45 1.134 0.0
1.0 0.421 1.45 1.134 0.0
1.0 0.647 1.45 1.134 0.0
1.0 0.664 1.45 1.134 0.0
1.0 7.241 1.45 1.134 0.0
1.0 8.576 1.45 1.134 0.0
1.0 0.668 1.45 1.134 0.0
1.0 8.829 1.45 1.134 0.0
1.0 0.511 1.45 1.134 0.0
1.0 0.198 1.45 1.134 0.0
1.0 0.189 1.45 1.134 0.0
1.0 0.597 1.45 1.134 0.0
1.0 0.164 1.45 1.134 0.0
1.0 0.218 1.45 1.134 0.0
1.0 0.129 1.45 1.134 0.0
1.0 9.488 1.45 1.134 0.0
1.0 0.202 1.45 1.134 0.0
1.0 16.494 1.45 1.134 0.0
1.0 0.516 1.45 1.134 0.0
1.0 0.204 1.45 1.134 0.0
1.0 0.29 1.45 1.134 0.0
