avg_OSD.flyTime [s],avg_OSD.height [m],stdDev_OSD.flyTime [s],stdDev_OSD.height [m]
342.45,19.29,0.287228132,0.375366488
343.45,17.86,0.287228132,0.41521079
344.45,16.39,0.287228132,0.434626276
345.45,14.93,0.287228132,0.431393092
346.45,13.34,0.287228132,0.422374242
347.45,12.08,0.287228132,0.324961536
348.45,10.8,0.287228132,0.435889894
349.45,9.47,0.287228132,0.31638584
350.45,8.39,0.287228132,0.347706773
351.45,7.17,0.287228132,0.376961536
352.45,5.89,0.287228132,0.338969025
353.45,4.89,0.287228132,0.246779254
354.45,4.08,0.287228132,0.231516738
355.45,3.34,0.287228132,0.210713075
356.45,2.82,0.287228132,0.087177979
357.45,2.65,0.287228132,0.05
358.45,2.5,0.287228132,0.063245553
359.45,2.33,0.287228132,0.045825757
360.45,2.15,0.287228132,0.05
361.45,1.95,0.287228132,0.05
362.45,1.77,0.287228132,0.064031242
363.45,1.59,0.287228132,0.07
364.45,1.41,0.287228132,0.07
365.45,1.21,0.287228132,0.07
366.45,1.03,0.287228132,0.064031242
367.45,0.84,0.287228132,0.048989795
368.45,0.8,0.287228132,0
369.45,0.78,0.287228132,0.04
370.45,0.8,0.287228132,0
371.45,0.77,0.287228132,0.045825757
372.45,0.58,0.287228132,0.074833148
373.45,0.46,0.287228132,0.048989795
