"avg_Time (s)" avg_latitude avg_longitude avg_altitude(m) avg_speed(mps) avg_distance(m) avg_velocityX(mps) avg_velocityY(mps) avg_velocityZ(mps) avg_pitch(deg) avg_roll(deg) avg_yaw(deg) avg_timestamp "stdDev_Time (s)" stdDev_latitude stdDev_longitude stdDev_altitude(m) stdDev_speed(mps) stdDev_distance(m) stdDev_velocityX(mps) stdDev_velocityY(mps) stdDev_velocityZ(mps) stdDev_pitch(deg) stdDev_roll(deg) stdDev_yaw(deg) stdDev_timestamp
0.4668235294117647 48.04824558823529 11.654937647058821 0.4235294117647058 0.5188235294117647 0.4617647058823529 -0.28823529411764703 0.0 -0.4294117647058824 -0.9176470588235295 1.2823529411764705 -33.188235294117646 1574690000000.0 0.2932676423245532 1.140630556720912e-06 4.778846116797604e-07 0.1394502304838788 0.031037425784171565 0.5399589885746514 0.03221897397089212 0.0 0.04556450995538137 1.0427538732310746 0.3729615878622908 0.05823232315653843 0.0
1.4786666666666666 48.04824313333332 11.65493826666667 1.0266666666666668 0.6393333333333332 0.6226666666666666 -0.06666666666666667 0.03333333333333333 -0.6266666666666667 -1.6000000000000003 1.24 -33.18 1574690000000.0 0.3135269614491799 3.3993463338126665e-07 1.289271973552084e-06 0.2619584360585133 0.059494164046194925 0.05026153819992203 0.06992058987801011 0.047140452079103175 0.06798692684790379 0.2708012801545319 0.7209253313161726 0.04000000000000057 0.0
2.4408333333333334 48.04824216666666 11.654941277777779 1.7555555555555555 0.6644444444444445 0.7961111111111111 0.01666666666666667 0.01666666666666667 -0.661111111111111 -1.7277777777777779 0.2888888888888889 -33.14444444444445 1574690000000.0 0.29264735129883246 3.7267799530904347e-07 8.03157349581095e-07 0.23622546250521445 0.04821505323054917 0.047974401610406184 0.0372677996249965 0.0372677996249965 0.048749802152178445 0.26416652062152757 0.2401131420552701 0.04969039949999603 0.0
3.5153684210526315 48.048242789473676 11.654942842105264 2.573684210526315 0.7078947368421055 0.7673684210526317 0.07894736842105265 -0.01578947368421053 -0.6999999999999998 -0.7842105263157894 -0.19473684210526315 -33.163157894736855 1574690000000.0 0.281253811300738 4.0768245646621834e-07 3.6464227500475996e-07 0.19423833776048355 0.0040768245749551795 0.03322049229065159 0.04076824574955176 0.03646422752776584 1.1102230246251565e-16 0.1598129100072524 0.14317337377616257 0.04823763889427269 0.0
4.4885789473684214 48.04824405263157 11.654940526315793 3.268421052631579 0.7163157894736841 0.5726315789473685 0.06842105263157897 -0.13157894736842107 -0.6999999999999998 -0.01578947368421053 0.5736842105263159 -33.16315789473685 1574690000000.0 0.2791242537481667 6.046908057156351e-07 8.806947648846383e-07 0.21533971100503985 0.00929659038560827 0.07454014144728066 0.046482951928041305 0.0464829519280413 1.1102230246251565e-16 0.3328713326493031 0.2672316268376022 0.04823763889427268 0.0
5.478125 48.048244437499996 11.654937499999999 4.08125 0.740625 0.474375 0.0 -0.13125 -0.73125 0.1625 1.25 -33.2 1574690000000.0 0.3112550953398193 4.960783730969821e-07 8.6602540390549e-07 0.2720724857459864 0.04234807404121233 0.04847276941747811 0.0 0.046351240544347895 0.04635124054434793 0.3887077951366553 0.32015621187164245 0.04999999999999894 0.0
6.5175 48.04824279999999 11.6549353 4.965000000000001 0.8250000000000002 0.6645 -0.02 -0.04 -0.8200000000000001 -0.67 1.9 -33.19000000000001 1574690000000.0 0.2924711096843584 5.999999984851457e-07 4.5825756915262385e-07 0.2688401011754013 0.037749172176353735 0.0652284447154767 0.04 0.04898979485566356 0.039999999999999994 0.1584297951775486 0.16733200530681513 0.030000000000000426 0.0
7.559000000000001 48.04824147058824 11.654935411764706 5.947058823529412 0.9 0.808235294117647 0.0 0.0 -0.9 -1.3176470588235294 1.3588235294117645 -33.2 1574690000000.0 0.27052780655165015 4.991342007709909e-07 4.921529564164228e-07 0.27890046096775745 0.0 0.028949305410268876 0.0 0.0 0.0 0.20929937499596699 0.2059663694119011 0.0 0.0
8.490210526315789 48.04824099999999 11.65493689473684 6.863157894736842 0.9736842105263158 0.8689473684210527 0.010526315789473684 0.0 -0.9736842105263158 -1.1368421052631579 1.0473684210526317 -33.18947368421053 1574690000000.0 0.2731349346399605 7.105427357601002e-15 3.0689220530732973e-07 0.2959561246212537 0.044034738238635546 0.02149534511227595 0.030689220499185793 0.0 0.044034738238635546 0.17232321624994631 0.10939268258329754 0.030689220499186227 0.0
9.349857142857143 48.04824114285714 11.654938000000003 7.714285714285714 1.0 0.8128571428571428 0.08571428571428573 0.0 -1.0 -1.0285714285714285 0.44285714285714295 -33.199999999999996 1574690000000.0 0.2331026313336977 3.499271077147832e-07 7.559289461241167e-07 0.22314999074019 0.0 0.019794866372215707 0.03499271061118826 0.0 0.0 0.11605769149479943 0.24411439272335803 7.105427357601002e-15 0.0
10.51585 48.04824249999999 11.654937999999998 9.045 1.0 0.6754999999999999 0.10000000000000002 0.0 -1.0 -0.36500000000000005 0.325 -33.180000000000014 1574690000000.0 0.2839901890911022 4.999999987376214e-07 1.7763568394002505e-15 0.29912372022292044 0.0 0.05342986056504359 1.3877787807814457e-17 0.0 0.0 0.149248115565993 0.24672859582950654 0.04000000000000057 0.0
11.550882352941176 48.048243235294116 11.654936941176471 10.052941176470588 0.9947058823529412 0.5811764705882353 0.011764705882352941 -0.06470588235294118 -0.9882352941176471 -0.0823529411764706 0.7411764705882353 -33.188235294117646 1574690000000.0 0.2704357882583855 4.2418250192480555e-07 7.252251769551516e-07 0.28721307331138124 0.021176470588235286 0.016044919643512744 0.03221897397089213 0.047788461203740945 0.03221897397089212 0.22025464972763592 0.40737152219248907 0.03221897397089258 0.0
12.478263157894736 48.048242789473676 11.654934736842105 10.71052631578947 0.2847368421052632 0.648421052631579 0.0 -0.06842105263157895 -0.2578947368421053 -0.1894736842105263 1.6210526315789473 -33.20000000000001 1574690000000.0 0.2785541319602582 4.0768245646621834e-07 7.139294713736178e-07 0.0787717344583991 0.30924982952899416 0.04648295192804131 0.0 0.0464829519280413 0.3200588588528584 0.24256249730111396 0.22142825229434349 0.04588314677411137 0.0
13.437944444444444 48.04824188888889 11.654934 10.78888888888889 0.011111111111111112 0.7633333333333333 -0.011111111111111112 0.0 0.0 -0.32222222222222224 1.5666666666666669 -33.20000000000001 1574690000000.0 0.2852709184504798 3.1426968196692017e-07 0.0 0.05665577237325358 0.03142696805273545 0.03333333333333334 0.03142696805273545 0.0 0.0 0.16850834320114555 0.18856180831641267 7.105427357601002e-15 0.0
14.50585 48.04824029999999 11.654934999999998 10.729999999999999 0.134 0.9400000000000002 0.0 0.01 0.13000000000000003 -1.5299999999999998 1.6099999999999999 -33.15000000000001 1574690000000.0 0.29285444763568164 4.58257568338595e-07 6.324555315603459e-07 0.11000000000000039 0.08946507698538017 0.03098386676965931 0.0 0.03 0.09 0.21931712199461312 0.1445683229480096 0.05000000000000071 0.0
15.533199999999999 48.04824039999999 11.654936699999999 10.61 0.10800000000000003 0.905 0.06000000000000001 0.06000000000000001 0.0 -1.47 0.51 -33.15000000000001 1574690000000.0 0.29538493529630094 4.898979473197623e-07 4.582575699666528e-07 0.0299999999999999 0.016000000000000004 0.03383784863137725 0.04898979485566356 0.04898979485566356 0.0 0.3163858403911275 0.7272551134230684 0.05000000000000071 0.0
16.4683125 48.048241375 11.65493725 10.5125 0.1 0.80375 0.0125 -0.0875 0.0 -0.4125 -1.775 -33.1375 1574690000000.0 0.2564104909003334 4.841229204935345e-07 6.614378276907521e-07 0.03307189138830727 0.1 0.019324531042175363 0.033071891388307385 0.10532687216470447 0.0 0.20271593425283568 0.4602988159880493 0.0484122918275934 0.0
17.47235 48.048242599999995 11.654931800000004 10.5 0.35000000000000003 0.8150000000000001 0.0 -0.35000000000000003 0.0 0.19 -0.21999999999999997 -33.120000000000005 1574690000000.0 0.2945940045214767 4.898979473197623e-07 2.3151673807588913e-06 0.0 0.050000000000000024 0.05572252686302013 0.0 0.050000000000000024 0.0 0.15132745950421558 0.11661903789690603 0.04000000000000057 0.0
18.472611111111107 48.04824222222222 11.654923222222223 10.433333333333334 0.5066666666666667 1.2644444444444443 -0.05555555555555555 -0.5 0.0 0.39999999999999997 0.033333333333333326 -33.155555555555566 1574690000000.0 0.3013436832457233 6.28539361003001e-07 3.1544599036383587e-06 0.047140452079103 0.05456901847914966 0.21949999296943096 0.06849348892187752 0.047140452079103154 0.0 0.1699673171197595 0.37416573867739417 0.04969039949999603 0.0
19.526400000000002 48.048239499999994 11.654912300000001 10.5 0.637 2.118 -0.24 -0.59 0.0 0.06 1.19 -33.19000000000001 1574690000000.0 0.29547426283857614 1.0246950760891096e-06 3.226453161070706e-06 0.0 0.0260959767013998 0.25968442386866414 0.04898979485566354 0.029999999999999992 0.0 0.19595917942265426 0.9470480452437458 0.030000000000000426 0.0
20.50027777777778 48.04823566666667 11.654904666666665 10.5 0.3911111111111111 2.8111111111111113 -0.26666666666666666 -0.2666666666666667 0.0 -0.35555555555555557 3.8444444444444446 -33.21111111111112 1574690000000.0 0.2655900779512913 1.1547005386546065e-06 1.1547005384267e-06 0.0 0.11159892915101971 0.13127108884073493 0.047140452079103154 0.14907119849998599 0.0 0.1640535895581489 0.6344045521608975 0.031426968052733664 0.0
21.4715 48.048231599999994 11.654903899999997 10.5 0.28 3.112 -0.28 0.0 0.0 -1.8400000000000003 1.95 -32.9 1574690000000.0 0.2942676502777701 1.3564659984384966e-06 5.385164809041745e-07 0.0 0.039999999999999994 0.06910861017268413 0.039999999999999994 0.0 0.0 0.5535341001239219 0.14317821063276348 0.34928498393146157 0.0
22.499499999999998 48.0482282 11.654906100000002 10.5 0.10000000000000002 3.2220000000000004 -0.04 0.06000000000000001 0.0 -2.3899999999999997 1.1300000000000001 -26.82 1574690000000.0 0.2947323361967599 3.999999989900971e-07 1.04403065118161e-06 0.0 0.0632455532033676 0.046647615158762396 0.08 0.04898979485566356 0.0 0.20712315177207985 0.6900000000000001 2.8819437884872077 0.0
23.51855 48.0482289 11.654909899999998 10.450000000000001 0.12400000000000003 2.9899999999999993 0.09000000000000002 0.07 0.0 -1.6600000000000001 -0.15999999999999998 -24.52 1574690000000.0 0.2966532445465581 5.385164793538269e-07 9.433981131209892e-07 0.04999999999999982 0.019595917942265426 0.08111719916269292 0.030000000000000002 0.045825756949558406 0.0 0.16248076809271922 0.21071307505705478 0.07483314773547904 0.0
24.493111111111112 48.04823111111111 11.654910888888889 10.4 0.20000000000000004 2.764444444444444 0.20000000000000004 0.0 0.0 -0.7666666666666667 -0.47777777777777786 -24.466666666666665 1574690000000.0 0.2666510180593705 7.370277317096804e-07 3.1426968085041e-07 0.0 2.7755575615628914e-17 0.0490149888891395 2.7755575615628914e-17 0.0 0.0 0.38297084310253526 0.10304020550550781 0.04714045207910384 0.0
25.4629 48.0482338 11.654908700000002 10.45 0.22999999999999998 2.689 0.17 -0.14000000000000004 0.0 0.2899999999999999 -0.05 -24.560000000000006 1574690000000.0 0.2929631205459143 7.483314754654329e-07 1.1874342083237428e-06 0.04999999999999982 0.025690465157330266 0.027000000000000003 0.045825756949558406 0.066332495807108 0.0 0.35341194094144573 0.3774917217635375 0.048989794855664265 0.0
26.457500000000003 48.048235 11.654903833333332 10.5 0.19888888888888892 2.911111111111111 0.022222222222222223 -0.19444444444444448 0.0 0.5166666666666667 1.4833333333333334 -20.81111111111111 1574690000000.0 0.29333205492145686 0.0 1.5000000002151496e-06 0.0 0.025361582690029614 0.09643010646109833 0.041573970964154904 0.02290614236454256 0.0 0.11666666666666667 0.4258977446393546 2.289805641652411 0.0
27.512600000000003 48.048232799999994 11.654900000000001 10.5 0.14400000000000004 3.275 -0.11000000000000001 -0.07 0.0 -0.7300000000000001 2.1399999999999997 -15.86 1574690000000.0 0.29432658731416056 1.1661903790711394e-06 9.999999999621422e-07 0.0 0.032 0.1063249735480805 0.053851648071345036 0.045825756949558406 0.0 0.7267048919609665 0.18547236990991403 2.1804586673450155 0.0
28.494777777777774 48.04822955555556 11.654899388888888 10.544444444444444 0.1444444444444445 3.512222222222222 -0.1277777777777778 0.03333333333333333 0.0 -2.466666666666667 1.6611111111111112 -9.71111111111111 1574690000000.0 0.27850724218701645 9.558139185332846e-07 5.905636560902836e-07 0.04969039949999515 0.04245549594342844 0.03292340531117563 0.055832642339560506 0.047140452079103175 0.0 0.3179797338056485 0.5261378029131922 4.364616425667882 0.0
29.518882352941176 48.04822717647058 11.654903000000001 10.6 0.15882352941176475 3.474705882352941 0.0 0.15882352941176475 0.0 -2.7 -0.11176470588235293 -1.6941176470588237 1574690000000.0 0.28241893836533816 3.8122004282905855e-07 1.2366938845520836e-06 0.0 0.04921529567847504 0.04654127163494701 0.0 0.04921529567847504 0.0 0.35313720046596775 0.2654238628865524 0.1392018772494027 0.0
30.491 48.04822849999999 11.6549075 10.6 0.35000000000000003 3.1399999999999997 0.2875 0.1875 0.0 -3.0875000000000004 -0.125 -1.5750000000000002 1574690000000.0 0.28155971835473914 1.1180339883103632e-06 1.4142135624922663e-06 0.0 0.11510864433221338 0.1554831180546621 0.12686114456365277 0.033071891388307385 0.0 1.2014964627496827 0.09682458365518543 0.043301270189221974 0.0
31.510699999999996 48.04823259999999 11.654912999999999 10.599999999999998 0.30850000000000005 2.532 0.26000000000000006 0.14500000000000002 0.0 0.8 -0.625 -1.6000000000000003 1574690000000.0 0.2970809822253857 8.000000010000009e-07 1.0954451150012928e-06 1.7763568394002505e-15 0.08684900690278502 0.12200819644597652 0.08 0.08645808232895291 0.0 1.0691117808723274 0.1920286436967152 0.04472135954999579 0.0
32.51742105263158 48.04823542105263 11.654912842105263 10.531578947368422 0.1736842105263158 2.338947368421053 0.1736842105263158 0.0 0.0 0.8105263157894738 0.8052631578947369 -1.5684210526315792 1574690000000.0 0.28563784869904474 9.90257249138791e-07 7.443229277481578e-07 0.04648295192804113 0.04403473823863555 0.01773926268037136 0.04403473823863555 0.0 0.0 0.24256249730111398 0.48609473216921334 0.04648295192804134 0.0
33.48773684210526 48.04823657894737 11.654910210526316 10.510526315789473 0.18842105263157893 2.4189473684210525 0.02631578947368421 -0.16842105263157894 0.0 0.21052631578947367 -0.5736842105263157 -1.578947368421053 1574690000000.0 0.28221862412065263 4.937279734717124e-07 1.238800241513403e-06 0.030689220499185686 0.11577033334625281 0.08142770360342622 0.04403473823863556 0.13397812696166164 0.0 0.29893624886658793 0.9019523299710281 0.04076824574955179 0.0
