"avg_OSD.flyTime [s]" "Distance (m)" "Height (m)" "Time (s)" "Packet Inter-arrival (ms)"
0.45 0.886 0.0 0.0 0.0
1.45 1.134 0.0 0.0 7.424
2.45 1.274 0.08 0.0 20.35
3.45 0.25 0.47 0.0 3.195
4.45 0.183 0.93 0.0 1.328
5.45 0.247 1.2 0.0 0.067
6.45 0.337 1.73 0.0 0.481
7.45 0.438 3.51 0.0 0.034
8.45 0.428 5.6 0.0 0.067
9.45 0.595 7.6 0.0 0.463
10.45 0.916 9.59 0.0 0.03
11.45 0.95 10.65 0.0 0.085
12.45 0.51 10.68 0.0 0.754
13.45 0.486 10.63 0.0 0.555
14.45 0.785 10.63 0.0 5.01
15.45 1.105 10.7 0.0 0.03
16.45 2.865 10.67 0.0 8.188
17.05 4.355 10.7 0.0 1.257
18.45 7.808 10.7 0.0 15.506
19.45 10.176 10.7 0.0 0.466
20.45 12.816 10.8 0.0 0.197
21.45 15.103 10.82 0.0 0.205
22.45 15.5 10.8 0.0 0.188
23.45 15.396 10.78 0.0 0.187
24.45 15.314 10.74 0.0 0.566
25.45 14.868 10.7 0.0 0.1
26.45 12.565 10.68 0.0 1.722
27.45 9.562 10.67 0.0 20.293
28.45 6.526 10.66 0.0 9.097
29.45 3.833 10.84 0.0 0.509
30.45 2.026 10.9 0.0 0.19
31.45 2.833 10.8 0.0 0.197
32.45 5.136 10.83 0.0 0.208
33.45 7.683 10.9 0.0 0.551
34.45 10.146 10.98 0.0 0.2
35.45 12.596 11.04 0.0 0.237
36.45 14.862 10.97 0.0 0.098
37.45 15.915 10.98 0.0 7.023
38.55714286 15.65142857 11.08571429 0.0 1.937
39.45 15.581 10.99 0.0 20.314
40.45 15.661 10.9 0.0 1.864
41.45 15.739 11.01 0.0 0.53
42.45 15.755 12.15 0.0 0.202
43.45 15.707 13.79 0.0 0.223
44.45 15.733 15.66 0.0 0.163
45.45 15.741 17.6 0.0 0.554
46.45 15.802 19.67 0.0 0.189
47.41111111 15.88111111 21.56666667 0.0 0.154
48.45 15.943 23.22 0.0 4.05
49.45 16.07 23.46 0.0 1.535
50.45 16.17 23.71 0.0 10.853
51.45 16.215 24.28 0.0 0.275
52.45 16.133 24.6 0.0 14.937
53.45 15.442 24.56 0.0 0.528
54.5 13.20555556 24.56666667 0.0 0.233
55.45 10.973 24.5 0.0 0.151
56.45 8.862 24.44 0.0 0.194
57.45 7.281 24.4 0.0 0.564
58.45 6.559 24.45 0.0 0.197
59.45 6.904 24.4 0.0 0.202
60.45 8.1 24.42 0.0 0.065
61.5125 9.955 24.575 0.0 3.66
62.45 11.879 24.54 0.0 20.357
63.45 14.14875 24.6375 0.0 7.312
