"avg_Time (s)" "avg_Delta Time (ms)" "avg_RSSI (dBm)" avg_Length "stdDev_Time (s)" "stdDev_Delta Time (ms)" "stdDev_RSSI (dBm)" stdDev_Length
0.046279 37.6978 -52.2 134.4 0.07205515398637352 59.93175218663309 0.4 0.8
13.201001166666666 54.750499999999995 -55.0 134.66666666666666 0.12430881886444019 47.136014301699284 0.0 0.9428090415820634
23.61610177952756 6.627952755905512 -50.23622047244095 1417.1496062992126 0.27680312895442355 12.409279006547276 0.4771419655919092 314.789970693876
24.494754283783784 6.704202702702702 -50.53378378378378 1407.7432432432433 0.262737924886806 12.13586671976883 0.8171765873250221 313.59026291466193
25.468942520467838 5.894222222222222 -50.134502923976605 1403.9298245614036 0.3031159162165223 11.59674663329906 0.3411918630599959 334.6673582670454
26.5198201091954 5.774810344827587 -50.58620689655172 1412.3275862068965 0.30244040940296474 11.215054267485806 0.5581522088358154 324.83761042565123
27.519365513513517 6.820182432432432 -52.33108108108108 1370.945945945946 0.27754435945525074 18.25816397885835 1.322306101422167 374.5366467795401
28.46423844099379 5.890968944099378 -55.11180124223603 1396.3229813664595 0.289216729871928 11.732818500598212 1.4659437797761194 368.7395620585568
29.48513386309524 6.188410714285714 -54.166666666666664 1429.4107142857142 0.29394831139200894 14.021943575089026 3.416811843605552 297.2995589339933
30.537600737499996 6.32445625 -59.39375 1424.9375 0.30575470052348525 18.327338588106183 2.2860907544321156 295.39307895370536
31.470126999999998 5.721511764705882 -57.38235294117647 1413.1117647058823 0.2805908174071274 12.913692624605977 1.9099538935357905 334.6146060282994
32.516177587412585 7.145034965034965 -65.60839160839161 1399.3916083916083 0.2837449739318972 13.349797418861892 4.142623345454811 313.08807123421576
33.64195243627451 4.929647058823529 -67.00980392156863 1437.313725490196 0.3260997743343328 11.323732579511725 1.8864589612641038 300.34427893675996
34.417305052083336 5.108692708333334 -67.46354166666667 1381.3541666666667 0.31921528744866645 10.37552063574949 2.0152346736622397 337.7023615295559
35.45562816571429 5.8145428571428575 -62.582857142857144 1418.9142857142858 0.32287571478210986 12.387594173764231 4.2685217055815015 318.21207406638837
36.50701101818182 5.916345454545454 -53.096969696969694 1410.1151515151514 0.2856489397417422 12.76964464309654 1.8364136406833256 320.2868866663629
37.414233806896554 3.513689655172414 -56.2 1434.7241379310344 0.20115709433980117 12.177421363138018 2.7482910050203673 317.086129553614
38.61211447959184 9.709918367346939 -61.795918367346935 1320.9591836734694 0.3184602525019676 18.844805043730037 2.212945141077325 275.6026020421339
39.55140483098593 13.129873239436616 -64.87323943661971 1394.9859154929577 0.27972170705567406 41.01239411392321 1.9131095362262152 310.41305933749055
40.49910565333333 7.4318333333333335 -72.93333333333334 1338.1733333333334 0.2693828698784438 18.059458722201196 1.4951774328003868 287.37273697335235
41.55177883333332 9.489245098039214 -66.44117647058823 1349.0882352941176 0.30630888652930915 7.651986915413045 3.766658500976134 319.59058070186677
42.59054402631578 12.072499999999998 -62.526315789473685 1419.2763157894738 0.286731945393161 27.723179045843477 2.067758029532967 271.8593192058315
43.62878451807228 13.306999999999997 -63.04819277108434 1424.0722891566265 0.26808190033664153 39.17831541394677 1.649414751686268 302.8611269941346
44.54195652857143 13.8755 -62.82857142857143 1228.5285714285715 0.29274664173614684 40.92521972879315 1.286983500520595 420.83046200946774
