avg_Time(seconds) avg_TimeModified(seconds) avg_Latitude avg_Longitude avg_Altitude(feet) stdDev_Time(seconds) stdDev_TimeModified(seconds) stdDev_Latitude stdDev_Longitude stdDev_Altitude(feet)
122.55 0.35 48.07463364 11.649009135 0.0 0.22912878474779216 0.229128784747792 8.573214125337091e-08 4.609772222306394e-08 0.0
123.45000000000002 1.25 48.074633409 11.649009131 0.0 0.2872281323269024 0.2872281323269014 5.467174684835291e-08 5.2239831376866715e-08 0.0
124.45000000000002 2.25 48.074632907 11.649009218999998 0.0 0.2872281323269024 0.2872281323269014 4.942479138671003e-07 1.7259490124099956e-07 0.0
125.45000000000002 3.25 48.074631857 11.649009668000001 0.56 0.2872281323269024 0.2872281323269015 1.6340440601940612e-07 1.8680471088428598e-07 0.4247352116319061
126.45000000000002 4.25 48.074632819 11.649010377 2.13 0.2872281323269024 0.2872281323269015 4.25381005781245e-07 3.3502387983253686e-07 0.5040833264451424
127.45000000000002 5.25 48.07463394900001 11.649010016999998 3.2700000000000005 0.2872281323269024 0.2872281323269014 1.8811964275039482e-07 1.259007942876047e-06 0.1615549442140351
128.45 6.25 48.074634087 11.64900167 3.3 0.2872281323269034 0.2872281323269014 1.9534840698575587e-07 3.5166916268907712e-06 0.0
129.45 7.25 48.074632017000006 11.648985657999999 3.3 0.2872281323269034 0.2872281323269014 9.974372162485149e-07 5.61803666782416e-06 0.0
130.45 8.25 48.074627584 11.648963259 3.0 0.2872281323269034 0.2872281323269013 1.4892226153900134e-06 7.121681613086234e-06 0.0
131.45 9.25 48.074623405000004 11.648941956999998 3.0 0.2872281323269034 0.2872281323269012 5.368659045129602e-07 3.5643009132815725e-06 0.0
132.45 10.25 48.074623429 11.648941916 3.0 0.2872281323269034 0.2872281323269012 1.9557351529501712e-07 2.0475263123602334e-06 0.0
133.45 11.25 48.074623066 11.648944975000001 3.0300000000000002 0.2872281323269034 0.2872281323269012 2.8036404846553023e-07 1.4861022851814775e-07 0.08999999999999996
134.45 12.25 48.074622597 11.648944328999999 5.930000000000001 0.2872281323269034 0.2872281323269012 1.1027692334536088e-07 2.809430543545569e-07 1.456056317592146
135.45 13.25 48.0746223 11.648944365999998 7.7 0.2872281323269034 0.2872281323269012 1.902104095596438e-07 1.377098401764447e-07 0.2000000000000002
136.45 14.25 48.07462199300001 11.648944785000001 7.5 0.2872281323269034 0.2872281323269012 1.3594484170376923e-07 2.2419857291056446e-07 0.0
137.45 15.25 48.07462326 11.648948225000002 7.5 0.2872281323269034 0.2872281323269012 6.260990342073589e-07 2.1195813265056975e-06 0.0
138.45 16.25 48.074625489000006 11.648958087999999 7.5 0.2872281323269034 0.2872281323269012 5.260693872643936e-07 2.885026169948916e-06 0.0
139.45 17.25 48.074625559000005 11.648961589 7.290000000000001 0.2872281323269034 0.2872281323269014 1.8721378241821405e-07 6.378871393656904e-08 0.13747727084867511
140.45 18.25 48.07462281800001 11.648963126999998 7.5 0.2872281323269034 0.2872281323269014 1.5448805779853257e-06 8.760028537671291e-07 0.0
141.45 19.25 48.074615285 11.648966748 7.5 0.2872281323269034 0.2872281323269014 2.796766883174348e-06 1.178946987604195e-06 0.0
142.45 20.25 48.074605053000006 11.648970808 7.5 0.2872281323269034 0.2872281323269014 2.3960636477065205e-06 8.22007299290465e-07 0.0
143.45 21.25 48.074602297 11.648971195 7.5 0.2872281323269034 0.2872281323269014 3.550788646509587e-07 2.7416236052612165e-07 0.0
144.45 22.25 48.074607023 11.648968668 7.5 0.2872281323269034 0.2872281323269014 2.416596986886998e-06 1.1684502558410613e-06 0.0
145.45 23.25 48.074618326999996 11.648963411 7.410000000000001 0.2872281323269034 0.2872281323269014 4.018820847477278e-06 1.8643843487049369e-06 0.13747727084867511
146.45 24.25 48.074627523 11.64896003 7.2 0.2872281323269034 0.2872281323269014 6.176738632216944e-07 1.590597372777987e-07 0.0
147.45 25.25 48.074628046 11.648959571999999 7.2 0.2872281323269034 0.2872281323269014 1.6906803450277206e-07 2.467306222107269e-07 0.0
148.45 26.25 48.074626417999994 11.648955486 7.2 0.2872281323269034 0.2872281323269014 8.35700903097e-07 2.3049694143597452e-06 0.0
149.45 27.25 48.074622851 11.648944953 7.5 0.2872281323269034 0.2872281323269014 1.0844763725078081e-06 3.6989837794620063e-06 0.0
150.45 28.25 48.074619021 11.648930242 7.5 0.2872281323269034 0.2872281323269014 1.1312245570995021e-06 4.654786354059905e-06 0.0
151.45 29.25 48.07461566799999 11.648915251000002 7.5 0.2872281323269034 0.2872281323269014 5.586197288146383e-07 2.8181605704437685e-06 0.0
152.45 30.25 48.074615497 11.648913878 7.5 0.2872281323269034 0.2872281323269014 1.5716551832744061e-07 1.0284921002926227e-06 0.0
153.45 31.25 48.074616685 11.648923125 7.32 0.2872281323269034 0.2872281323269014 4.1783370009814206e-07 4.2063695750006034e-06 0.1469693845669906
154.45 32.25 48.074618834 11.648941321999999 7.5 0.2872281323269034 0.28722813232690186 8.603975825259778e-07 6.0915528394616405e-06 0.0
155.45 33.25 48.074622464 11.648964826 7.5 0.2872281323269034 0.2872281323269024 1.1840371609823438e-06 7.3980662336431675e-06 0.0
156.45 34.25 48.07462663 11.648987921 7.5 0.2872281323269034 0.2872281323269024 7.730976655324529e-07 4.487837897940047e-06 0.0
157.45 35.25 48.074627226000004 11.648992234 7.540000000000001 0.2872281323269034 0.2872281323269024 1.252357775241412e-07 1.26901536453194e-07 0.12000000000000012
158.45 36.25 48.074627855 11.648992689 7.58 0.2872281323269034 0.2872281323269024 2.1124630120943045e-07 1.7102339016516607e-07 0.16000000000000014
159.45 37.25 48.07462838 11.648993014999999 7.5 0.2872281323269034 0.2872281323269024 1.0324727613985969e-07 1.0239628887169669e-07 0.0
160.45 38.25 48.074628516 11.648992852000001 7.5 0.2872281323269034 0.2872281323269024 4.7791213651333925e-08 5.41848687416586e-08 0.0
161.45 39.25 48.074628391000005 11.648992966 7.5 0.2872281323269034 0.2872281323269024 1.278632077882699e-07 6.483826004176167e-08 0.0
162.45 40.25 48.074627971 11.648993575 7.5 0.2872281323269034 0.2872281323269024 8.324061670726818e-08 4.867288770093703e-07 0.0
163.45 41.25 48.074627465999995 11.648994683000002 7.5 0.2872281323269034 0.2872281323269024 2.3435869932315838e-07 4.3299076197824446e-07 0.0
164.45 42.25 48.074626807 11.648997406000001 7.5 0.2872281323269034 0.2872281323269024 1.1393419209676726e-07 1.7595863146413566e-06 0.0
165.45 43.25 48.074627311 11.649004086999998 7.5 0.2872281323269034 0.2872281323269024 1.2372954408932073e-07 1.0795003471067447e-06 0.0
166.45 44.25 48.074627522 11.649004898 7.5 0.2872281323269034 0.2872281323269024 3.8948170643962965e-07 1.3196969326195744e-07 0.0
167.45 45.25 48.074630623999994 11.649003584999999 7.5 0.2872281323269034 0.2872281323269024 1.2266067008243557e-06 5.748956427070174e-07 0.0
168.45 46.25 48.074631119 11.649003143 7.44 0.2872281323269034 0.2872281323269024 8.773078140807853e-07 2.330257498915347e-07 0.11999999999999994
169.45 47.25 48.074629292 11.649003381000002 7.5 0.2872281323269034 0.2872281323269024 2.648697786373537e-07 5.127377474644138e-08 0.0
170.45 48.25 48.074628753999995 11.64900305 7.5 0.2872281323269034 0.2872281323269024 9.243376030402037e-08 1.4553350160950662e-07 0.0
171.45 49.25 48.07462880199999 11.649002672 7.5 0.2872281323269034 0.2872281323269024 1.386939068632944e-07 1.0293687393469073e-07 0.0
172.45 50.25 48.074629145 11.649002376 7.5 0.2872281323269034 0.2872281323269024 9.113177254636803e-08 1.3252924213006205e-07 0.0
173.45 51.25 48.074627522 11.648999422 7.5 0.2872281323269034 0.2872281323269024 9.136060432989144e-07 1.848333303444072e-06 0.0
174.45 52.25 48.074623817 11.648990662000001 7.5 0.2872281323269034 0.2872281323269024 1.1707779457179481e-06 3.1060901466635205e-06 0.0
175.45 53.25 48.074621754000006 11.648984179000001 7.5 0.2872281323269034 0.2872281323269024 1.3610290241938181e-07 2.901534077479669e-07 0.0
176.45 54.25 48.07462210999999 11.648984418000001 7.5 0.2872281323269034 0.2872281323269024 1.1704699774325976e-07 1.25043992288619e-07 0.0
177.45 55.25 48.074621349 11.648984672000001 8.34 0.2872281323269034 0.2872281323269024 3.1220025640052914e-07 1.1232096855931958e-07 0.5407402333838311
178.45 56.25 48.074620814 11.648984524 8.960000000000003 0.2872281323269034 0.2872281323269024 2.1176402087484166e-07 2.121885956054522e-07 0.11999999999999957
179.45 57.25 48.074620198000005 11.648983896 8.900000000000002 0.2872281323269034 0.2872281323269024 7.440430078525587e-08 1.0071742669883719e-07 1.7763568394002505e-15
180.45 58.25 48.074620364 11.648983782 8.900000000000002 0.2872281323269034 0.2872281323269024 7.432361585580361e-08 9.957911399194332e-08 1.7763568394002505e-15
181.45 59.25 48.07462074 11.648983791 8.540000000000001 0.2872281323269034 0.2872281323269024 1.8455351518229895e-07 1.776766730181517e-07 0.12000000000000012
