"avg_OSD.flyTime [s]" "avg_CUSTOM.distance [m]" "stdDev_OSD.flyTime [s]" "stdDev_CUSTOM.distance [m]"
0.5 0.7211111111111111 0.25819888974716115 0.009938079899999074
1.45 0.75 0.2872281323269014 0.004472135954999583
2.45 0.75 0.2872281323269014 0.0
3.45 0.754 0.2872281323269014 0.004898979485566361
4.5 0.7533333333333333 0.2581988897471612 0.006666666666666673
5.45 0.748 0.2872281323269015 0.006000000000000005
6.45 0.754 0.2872281323269015 0.006633249580710806
7.450000000000001 0.7559999999999999 0.28722813232690153 0.009165151389911688
8.488888888888889 0.7488888888888889 0.2766644355108608 0.007370277311900895
9.45 0.759 0.28722813232690153 0.008306623862918082
10.45 0.7339999999999999 0.28722813232690153 0.006633249580710806
11.45 0.6169999999999999 0.28722813232690153 0.27014995835646544
12.444444444444445 0.41222222222222216 0.3022549001941211 0.13725708059273117
13.45 0.6120000000000001 0.28722813232690153 0.006000000000000006
14.45 0.7010000000000002 0.28722813232690153 0.036455452267116356
15.45 0.692 0.28722813232690153 0.02638181191654581
16.422222222222224 0.5666666666666667 0.2897423291201175 0.06036923425424945
17.5 0.47333333333333333 0.2581988897471608 0.014907119849998594
18.45 0.6409999999999999 0.2872281323269012 0.07489325737341113
19.45 0.841 0.2872281323269012 0.04867237409455183
20.433333333333334 0.8933333333333334 0.2981423969999716 0.024944382578492963
21.45 0.7769999999999999 0.2872281323269012 0.035227829907617074
22.45 0.611 0.2872281323269012 0.06252199612936232
23.45 0.508 0.2872281323269012 0.018867962264113226
24.4 0.67625 0.27386127875258304 0.07330373455697876
25.466666666666665 0.8366666666666667 0.29814239699997175 0.028284271247461894
26.45 0.9469999999999998 0.2872281323269012 0.013453624047073686
27.45 0.915 0.2872281323269012 0.023345235059857482
28.45 0.786 0.2872281323269012 0.053702886328390216
29.4875 0.76 0.30593095626301 0.08321658488546621
30.488888888888887 1.2277777777777776 0.2884612219054923 0.18164542859206523
31.449999999999996 1.991 0.2872281323269012 0.25200992043965253
32.45 2.89 0.2872281323269009 0.2567099530598687
33.412499999999994 3.7275 0.30593095626300953 0.2522771293637217
34.45 4.600999999999999 0.2872281323269009 0.24431332341892462
35.45 5.393 0.2872281323269009 0.2030295544988464
36.45 6.259 0.2872281323269009 0.3038897826515396
37.375 7.16875 0.263391343821318 0.20805272769180405
38.48888888888889 7.67 0.27666443551086034 0.09104333522498452
39.45 7.858 0.2872281323269009 0.02315167380558035
40.45 7.848999999999999 0.2872281323269009 0.12910848151844997
41.45 8.726 0.2872281323269009 0.3224344894703417
42.48888888888889 10.27222222222222 0.27666443551086034 0.5211691509966964
43.45 12.259 0.2872281323269009 0.5996073715357407
44.45 13.996 0.2872281323269009 0.38361960325301403
45.45 14.720000000000002 0.2872281323269009 0.049799598391954907
46.5 14.256666666666666 0.29439202887759347 0.27059604990136554
47.45 13.398000000000001 0.2872281323269009 0.25887448696231186
48.45 12.873 0.2872281323269009 0.061652250567193465
49.412499999999994 13.232500000000002 0.2712816801776333 0.23063770290219227
50.45 14.308000000000002 0.2872281323269009 0.29992665770151206
51.41111111111111 14.994444444444444 0.27666443551086056 0.09956696363208833
52.45 14.99 0.2872281323269009 0.0619677335393189
53.45 14.7 0.2872281323269009 0.08270429251254129
54.477777777777774 15.25777777777778 0.2897423291201175 0.32172375237073536
55.45 16.249000000000002 0.2872281323269009 0.24849346067854583
56.400000000000006 17.11 0.2581988897471608 0.24926558794453207
57.45 18.107000000000003 0.2872281323269009 0.25314225249847194
58.46666666666666 18.88888888888889 0.29814239699997125 0.1999135615679074
59.45 19.221000000000004 0.2872281323269009 0.02586503431275461
60.45 18.993 0.2872281323269009 0.13528118864054953
