Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
53.896,74.832,90.216,5.806,7.102,25.019,79,85,95
55.936,67.136,74.544,0.346,3.657,3.748,76,74,66
47.184,57.256,76.12,0.562,9.717,3.905,79,128,907
51.88,72.2,,17.971,3.014,11.561,102,85,74
47.408,127.872,,20.268,17.367,5.749,102,128,95
56.84,79.832,,20.26,9.904,8.781,102,74,66
46.8,79.896,,20.513,13.825,16.261,76,154,95
48.648,68.832,,20.269,20.259,14.006,102,102,66
49.808,91.112,,20.257,20.749,10.97,128,85,95
56.648,73.472,,20.264,0.517,18.701,76,128,66
46.928,73.896,,20.24,17.636,6.532,102,85,95
45.528,77.864,,20.547,2.736,24.888,102,128,95
48.664,89.928,,20.279,23.762,25.23,76,154,95
67.928,74.864,,20.255,20.286,3.759,128,128,66
47.968,75.688,,11.435,24.688,21.107,74,128,95
49.104,76.88,,8.816,7.626,23.894,76,85,66
53.936,84.712,,20.249,11.86,1.011,102,76,95
54.368,81.888,,0.908,0.948,0.197,74,102,66
56.576,76.12,,19.334,7.697,1.113,102,85,66
93.44,88.648,,20.866,16.842,1.457,76,180,66
48.92,83.432,,20.322,20.587,1.208,128,128,66
55.304,74.384,,20.26,34.124,1.154,76,154,66
47.008,82.584,,20.269,9.261,1.186,102,85,66
52.264,73.088,,20.376,9.086,1.189,102,76,66
48.416,83.504,,20.266,0.712,1.195,76,76,66
56.896,76.56,,0.447,10.597,1.561,76,85,66
46.104,78.392,,19.842,12.281,3.216,128,206,66
49.256,80.96,,20.405,12.854,1.161,76,102,66
50.392,86.304,,20.286,19.982,1.207,102,85,66
55.448,77.68,,17.35,0.262,1.126,74,128,66
47.392,72.848,,3.309,20.86,1.612,102,85,66
47.552,74.928,,6.684,1.732,1.232,74,101,66
45.744,86.24,,13.342,6.115,1.339,76,154,66
58.368,75.792,,0.214,6.343,0.461,76,85,66
49.184,75.016,,19.247,10.333,3.381,79,75,95
48,74.688,,1.093,0.062,25.063,128,79,95
45.592,86.128,,20.963,5.976,8.527,76,102,66
55.184,84.168,,20.293,2.743,13.856,102,85,66
51.76,74.28,,25.578,19.239,2.603,102,154,95
49.216,72.744,,9.432,27.007,14.555,88,154,66
48.176,79.512,,6.806,21.719,6.311,76,128,66
61.704,75.592,,4.069,12.625,4.19,102,85,95
48.664,83.048,,20.656,8.614,24.937,102,102,95
51.616,76.616,,22.706,12.33,24.758,102,85,66
47.848,84.64,,21.262,7.931,0.228,76,180,95
55.48,74.288,,14.563,24.678,0.261,75,128,66
49.184,84.568,,0.074,20.326,24.784,75,102,95
47.392,82.288,,0.047,25.57,18.541,75,154,66
51.76,79.808,,0.043,1.547,6.463,75,87,95
54.576,78.152,,0.04,0.06,23.979,75,85,66
49.104,84.224,,5.498,11.349,0.984,102,76,95
46.696,79.784,,17.671,0.065,0.289,76,84,66
47.848,87.296,,0.572,7.248,0.696,76,128,66
58.368,74.432,,3.347,1.57,24.047,128,85,95
48.176,75.448,,20.286,20.032,3.866,76,128,66
46.496,74.456,,20.261,20.27,1.149,102,154,66
48.256,84.232,,20.383,20.271,14.143,102,128,90
53.968,80.864,,20.967,19.578,5.812,76,85,95
51.76,77.52,,14.589,2.348,8.957,76,102,66
47.392,77.944,,5.673,10.354,0.384,128,79,66
48.576,82.064,,20.312,8.059,15.718,76,85,95
53.992,74.552,,20.281,2.427,24.959,102,154,95
46.784,83.472,,20.691,20.263,25.017,102,102,95
51.424,71.816,,18.385,7.629,8.663,79,74,66
48.664,84.32,,1.845,16.172,0.551,76,154,66
54.664,77.488,,14.633,20.267,17.588,84,128,95
47.096,77.192,,5.896,15.625,11.996,128,85,66
49.272,80.304,,21.102,13.865,0.605,76,74,66
50.4,85.392,,20.256,1.136,10.68,102,76,95
56.544,76.976,,18.829,2.893,18.837,72,76,66
49.024,74.304,,0.973,0.059,0.985,100,85,66
48.368,77.784,,0.441,20.539,5.156,102,79,95
48.208,89.32,,3.62,10.16,23.961,72,258,66
58.216,70.176,,0.205,22.331,1.048,78,102,95
46.848,72.36,,0.74,10.444,0.403,100,128,66
47.592,88.12,,0.164,7.632,26.202,106,85,95
48.208,84.088,,0.619,18.13,2.732,78,102,66
53.816,63.848,,0.128,2.845,0.841,78,79,66
57.128,76.168,,1.353,0.058,21.428,85,85,95
46.144,100.52,,0.537,7.529,25.671,72,76,95
47.392,81.264,,6.432,0.634,13.777,76,76,82
54.424,73.288,,6.466,8.291,11.214,76,85,95
47.304,84.216,,14.334,6.208,1.465,79,85,66
51.76,78.408,,0.061,0.059,0.977,76,101,66
45.752,81.888,,2.3,2.974,22.569,79,180,95
65.384,74.36,,3.577,32.295,21.735,128,154,66
48.608,77.184,,20.87,32.55,1.132,76,154,66
47.36,79.056,,20.276,4.722,1.112,102,74,66
50.488,85.264,,20.263,0.759,0.988,102,85,95
55.936,76.704,,20.28,8.748,0.282,76,128,66
54.824,77.208,,20.271,11.503,1.252,128,85,66
48.056,78.384,,20.572,9.778,1.332,76,128,66
47.392,88.376,,20.278,16.952,1.178,102,74,66
58.336,74.08,,20.241,15.161,1.225,102,154,66
48,66.352,,20.223,12.031,1.152,76,128,66
48.664,83.168,,20.243,20.666,2.122,128,102,66
46.488,89.368,,13.124,4.834,1.812,74,85,66
63.104,70.88,,7.11,20.192,1.245,102,85,66
57.368,81.712,,11.394,13.039,1.627,87,180,66
47.36,73.472,,3.346,10.476,0.943,74,128,66
50.832,82.472,,5.491,21.829,1.38,76,102,66
54.312,73.872,,20.241,23.17,9.47,102,154,95
47.192,83.288,,20.232,10.533,16.31,76,85,66
52.152,74.664,,20.251,11.754,1.32,128,128,66
47.968,81.632,,20.233,8.13,7.361,102,76,95
55.48,72.224,,20.267,0.626,3.853,77,85,66
47.848,70.208,,14.776,23.11,19.096,83,180,66
47.512,69.568,,5.461,10.712,0.212,103,76,66
52.368,78.896,,20.23,30.208,1.831,77,154,95
55.272,68.208,,14.169,11.226,25.003,76,102,95
47.36,68.976,,6.059,6.766,25.027,129,85,95
48.608,73.08,,20.839,13.519,21.874,103,128,66
48.872,76.624,,20.424,4.488,0.545,77,88,66
57.464,58.888,,20.78,0.062,2.552,103,76,95
49.88,70.536,,0.129,0.038,25.024,74,76,95
48.576,64.432,,2.867,0.741,1.916,74,85,66
47.968,75.272,,17.24,18.982,0.431,103,102,66
55.272,69.048,,12.41,20.696,22.657,76,154,95
51.552,68.712,,7.842,1.202,0.122,103,85,90
51.336,67.976,,20.248,13.173,6.793,103,85,66
48.664,77.384,,20.312,1.425,0.554,77,101,66
54.464,61.976,,20.253,4.896,17.586,103,128,95
48.664,72.144,,20.241,20.308,11.9,103,85,66
51.096,72.456,,1.512,0.997,2.017,84,102,66
47.36,72.096,,3.52,17.679,11.014,84,85,95
53.784,68.488,,8.178,1.427,11.491,76,75,74
48.448,66.056,,7.028,0.053,5.458,103,79,66
47.304,79.272,,20.242,1.77,1.812,103,180,66
51.76,78.632,,73.654,20.321,0.402,76,76,66
54.456,71.704,,1.028,20.499,5.846,76,154,95
47.152,70.568,,13.604,7.253,24.995,154,88,95
47.6,72.024,,11.509,14.754,25.036,102,154,95
48.664,65.984,,20.248,15.369,16.712,76,85,66
58.28,67.952,,21.211,4.482,1.299,102,83,66
48.664,63.992,,20.325,0.969,6.953,102,76,95
47.44,69.256,,13.918,14.246,21.429,76,85,66
47.232,66.552,,6.363,6.022,1.119,102,180,66
60.512,54.12,,20.259,20.748,0.499,102,128,66
48.752,59.496,,20.248,20.259,1.942,76,102,95
72.576,55.984,,20.239,33.009,25.038,102,85,95
49.328,68.976,,20.275,0.889,1.497,102,154,66
55.24,57.416,,4.545,10.18,1.197,79,102,66
48,57.792,,10.573,15.702,0.406,84,76,66
51.76,59.504,,5.115,0.065,21.94,102,84,95
46.696,73.568,,20.23,11.877,6.536,102,177,66
55.696,57.2,,20.258,29.627,2.849,102,154,66
48.208,70.616,,20.241,21.373,1.261,76,128,66
47.968,33.144,,20.249,10.232,14.309,102,102,95
51.096,72.96,,14.377,0.64,11.844,79,85,66
55.328,52.936,,0.407,19.228,1.183,76,85,66
47.304,52.856,,0.745,2.282,0.988,79,154,66
53.752,47.136,,15.056,2.164,10.985,128,79,95
46.784,59.648,,16.811,10.318,25.007,76,74,95
58.336,69.488,,20.351,8.162,7.047,102,102,85
48,55.656,,20.328,20.729,17.954,76,154,95
49.312,53.952,,20.286,20.241,12.333,128,128,66
45.664,67.432,,21.837,16.505,1.228,102,85,66
54.512,54.248,,20.253,4.335,11.447,76,74,95
49.496,45.488,,20.266,0.411,25.008,102,102,95
48.664,66.336,,23.713,15.102,8.66,102,85,66
47.392,80.096,,20.254,5.304,1.226,102,180,66
55.24,78.408,,7.384,3.632,1.215,74,76,66
47.392,104.936,,13.957,0.057,1.392,102,76,66
52.368,57.264,,6.075,22.419,2.482,74,128,66
46.696,62.976,,14.177,21.676,0.416,76,102,66
55.936,51.712,,20.255,33.581,0.907,102,85,66
47.392,62.832,,20.25,0.353,1.083,102,154,66
47.968,61.608,,20.228,7.873,1.12,102,79,66
52.312,64.792,,20.24,10.514,1.321,102,180,66
56.544,56.904,,20.877,2.389,1.187,76,85,66
48.52,52.6,,20.82,0.072,1.12,102,85,66
49.272,65.552,,20.486,2.313,1.268,102,76,66
50.32,69.104,,20.495,1.475,0.46,102,76,66
