,dist type,sse,params
18,<scipy.stats._continuous_distns.f_gen object at 0x000001D8DF056550>,0.007549398902618551,"(1.6903295497546367, 1.5907204459259234, 73.99934679371269, 4.8616788254351)"
16,<scipy.stats._continuous_distns.exponweib_gen object at 0x000001D8DF041B00>,0.007705561952117836,"(2.689122198213041, 0.29064229359713156, 73.99999999999999, 0.7197929221602815)"
44,<scipy.stats._continuous_distns.invgauss_gen object at 0x000001D8DF08CCC0>,0.007809956993806602,"(5.073621589336376, 73.19613765988069, 5.130101297019781)"
19,<scipy.stats._continuous_distns.fatiguelife_gen object at 0x000001D8DF0560B8>,0.007841901012564911,"(1.8841696436795035, 73.5215499563962, 9.389919500537191)"
43,<scipy.stats._continuous_distns.invgamma_gen object at 0x000001D8CD97AC88>,0.007952458645007206,"(0.8260562449828965, 72.92111539126245, 4.074904563223273)"
66,<scipy.stats._continuous_distns.powerlognorm_gen object at 0x000001D8DF0C7320>,0.008066673083289833,"(31.761521569141806, 4.037206829720498, 73.99844783982206, 23321.024848868954)"
46,<scipy.stats._continuous_distns.johnsonsb_gen object at 0x000001D8DF0994A8>,0.008091282973976098,"(3.6846899216521516, 0.6096885204385587, 73.82040347290814, 3312.5120733235235)"
54,<scipy.stats._continuous_distns.lognorm_gen object at 0x000001D8DF0A2AC8>,0.008102755640750204,"(1.6203176762193099, 73.81146922223343, 7.833559039976453)"
32,<scipy.stats._continuous_distns.gengamma_gen object at 0x000001D8DF079470>,0.008143976075805824,"(5.838007860339687, 0.23088386767161562, 73.98394119374245, 0.004698120374505144)"
41,<scipy.stats._continuous_distns.halfgennorm_gen object at 0x000001D8DF0E0390>,0.008189942135225566,"(0.2663998276073398, 73.99999999998323, 0.07114916869898155)"
0,<scipy.stats._continuous_distns.alpha_gen object at 0x000001D8DF01D198>,0.00848816107046581,"(1.2513564869206769e-06, 71.283907815301, 6.155976505293264)"
26,<scipy.stats._continuous_distns.genpareto_gen object at 0x000001D8DF0676D8>,0.008955793242610867,"(0.6648953879672657, 73.99999196615985, 9.87736736923108)"
13,<scipy.stats._continuous_distns.erlang_gen object at 0x000001D8DF079208>,0.00939334890876405,"(0.7558824190995415, 73.99999908070481, 18.420060883172)"
38,<scipy.stats._continuous_distns.halfcauchy_gen object at 0x000001D8DF079FD0>,0.00958679984704978,"(73.9999999994105, 8.058296012206775)"
72,<scipy.stats._continuous_distns.recipinvgauss_gen object at 0x000001D8DF0D4208>,0.00974917537624566,"(47488.60671899028, 73.99999998496787, 27.07260000944474)"
20,<scipy.stats._continuous_distns.fisk_gen object at 0x000001D8DF03E6A0>,0.009750366508160383,"(0.8553812005304477, 73.99999999998334, 15.634075768781091)"
30,<scipy.stats._continuous_distns.gausshyper_gen object at 0x000001D8DF08CB70>,0.009756494016648128,"(0.4414562122386388, 12.832043790766924, 2.2732703305429585, 2.9981078361354703, 73.99999999999999, 1219.003035503185)"
3,<scipy.stats._continuous_distns.beta_gen object at 0x000001D8DF01D8D0>,0.009988203057354988,"(0.5478986356034634, 135.50381976081138, 73.99999999999999, 6968.23167422804)"
59,<scipy.stats._continuous_distns.ncx2_gen object at 0x000001D8DF0ADE48>,0.010009848981602133,"(0.7980849040674771, 0.4147379344847878, 73.99999999999999, 26.126797023789624)"
64,<scipy.stats._continuous_distns.pearson3_gen object at 0x000001D8DF0BDDD8>,0.010153619531260507,"(2.6523502194580657, 103.33357815668832, 38.9014612306913)"
9,<scipy.stats._continuous_distns.chi2_gen object at 0x000001D8DF03ED30>,0.010269787581849106,"(1.3639495805592001, 73.99999999999999, 18.439348965161507)"
21,<scipy.stats._continuous_distns.foldcauchy_gen object at 0x000001D8DF0562E8>,0.010335996413739638,"(0.0029853389174723972, 73.99958555834203, 9.969441915293395)"
83,<scipy.stats._continuous_distns.weibull_min_gen object at 0x000001D8DF056A58>,0.01055479361582097,"(0.9370498190949383, 73.99999999999999, 17.60619641190065)"
23,<scipy.stats._continuous_distns.frechet_r_gen object at 0x000001D8DF056F60>,0.01055479361582097,"(0.9370498190949383, 73.99999999999999, 17.60619641190065)"
63,<scipy.stats._continuous_distns.pareto_gen object at 0x000001D8DF0BD908>,0.010578873154991906,"(4.62260490312288, -0.21709894353979337, 74.21709894161947)"
17,<scipy.stats._continuous_distns.exponpow_gen object at 0x000001D8DF041E10>,0.010624778890487631,"(0.3891545569778009, 73.99999999999999, 88.47798902786747)"
34,<scipy.stats._continuous_distns.gilbrat_gen object at 0x000001D8DF0A2DA0>,0.010888386378549317,"(72.14138855647141, 11.568210741390347)"
