,dist type,sse,params
31,<scipy.stats._continuous_distns.gamma_gen object at 0x0000018DEFB77DA0>,0.013008711313637171,"(135.44622686087348, -3705.9942142503023, 37.25077538800855)"
72,<scipy.stats._continuous_distns.recipinvgauss_gen object at 0x0000018DEFBE7198>,0.013018504721844404,"(0.03170493429810753, -1357.9684177919949, 84.82672327654376)"
13,<scipy.stats._continuous_distns.erlang_gen object at 0x0000018DEFB8B0B8>,0.01301930862248624,"(69.49867854871312, -2417.523923629421, 53.78614032746678)"
43,<scipy.stats._continuous_distns.invgamma_gen object at 0x0000018DEFB97CC0>,0.013021292362817273,"(101.65754943375805, -3390.58677458061, 477634.478685156)"
10,<scipy.stats._continuous_distns.cosine_gen object at 0x0000018DEFB4FEB8>,0.013035928593033971,"(1215.8861530246818, 412.4006962005194)"
16,<scipy.stats._continuous_distns.exponweib_gen object at 0x0000018DEFB57A20>,0.013044236050428516,"(46409.04715759911, 3.20583323335119, -16264.938838101152, 8295.254219984578)"
79,<scipy.stats._continuous_distns.uniform_gen object at 0x0000018DEFBEB588>,0.013051028577011676,"(77.0, 1437.0)"
36,<scipy.stats._continuous_distns.gumbel_r_gen object at 0x0000018DEFB8BAC8>,0.013051207607508573,"(1130.6395640927078, 544.576561564456)"
45,<scipy.stats._continuous_distns.invweibull_gen object at 0x0000018DEFBA7128>,0.013051394147941342,"(2928494.807224199, -1582833473.3133647, 1582834601.4724095)"
5,<scipy.stats._continuous_distns.bradford_gen object at 0x0000018DEFB2CDA0>,0.013052157012931337,"(0.015186287318341218, 76.99999953420581, 1442.2332995527945)"
49,<scipy.stats._continuous_distns.kstwobign_gen object at 0x0000018DEFB20CF8>,0.013064911365231363,"(-944.5059493797837, 2655.1798239655345)"
44,<scipy.stats._continuous_distns.invgauss_gen object at 0x0000018DEFB97BA8>,0.013088395999003546,"(0.2349302650500774, -363.4658339911706, 7029.526431143657)"
76,<scipy.stats._continuous_distns.truncexpon_gen object at 0x0000018DEFBE7DA0>,0.013090902202619745,"(0.6521922711553709, -41.55560366416546, 2385.118120011577)"
39,<scipy.stats._continuous_distns.halflogistic_gen object at 0x0000018DEFB97470>,0.013098890375435688,"(76.99999989119998, 858.0127712823248)"
82,<scipy.stats._continuous_distns.wald_gen object at 0x0000018DEFBEBC18>,0.013105309608485627,"(-120.85195677212752, 1971.7596558245432)"
34,<scipy.stats._continuous_distns.gilbrat_gen object at 0x0000018DEFBADCC0>,0.013106266936086821,"(-10.750028613850542, 1225.8286788185083)"
38,<scipy.stats._continuous_distns.halfcauchy_gen object at 0x0000018DEFB8BEF0>,0.013107574960805415,"(76.99999999999237, 1260.3917849598465)"
14,<scipy.stats._continuous_distns.expon_gen object at 0x0000018DEFB575C0>,0.013111641108684872,"(77.0, 1282.3551401869158)"
55,<scipy.stats._continuous_distns.lomax_gen object at 0x0000018DEFBCDB00>,0.013113985847933525,"(770586.5218891527, 76.99999469211303, 945420456.1274642)"
28,<scipy.stats._continuous_distns.genexpon_gen object at 0x0000018DEFB77780>,0.013114992236256062,"(0.0022808119073480025, 2.0175289427707126e-10, 5.153504872385886, 76.99989771759437, 2.7490673569931374)"
60,<scipy.stats._continuous_distns.ncf_gen object at 0x0000018DEFBCD080>,0.013122815781990461,"(398.91977987266307, 2.8316735558153203, 28.650157910700564, -4.389525437015685, 771.328861912139)"
66,<scipy.stats._continuous_distns.powerlognorm_gen object at 0x0000018DEFBD72B0>,0.013123224406559152,"(0.10981479566242724, 0.40744832156201616, -23.654035053629457, 309.2085250398121)"
59,<scipy.stats._continuous_distns.ncx2_gen object at 0x0000018DEFBC0D68>,0.013134523185221637,"(8.648014037006105e-05, 0.06315970248775066, 76.99999999999999, 5.105295539569551)"
47,<scipy.stats._continuous_distns.johnsonsu_gen object at 0x0000018DEFBA79E8>,0.013147866449490248,"(1.7167480915737154, 0.5678178869533957, 1514.0000329763857, 3.4423694169180666e-05)"
69,<scipy.stats._continuous_distns.reciprocal_gen object at 0x0000018DEFBD7F98>,0.013147882331232678,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)"
35,<scipy.stats._continuous_distns.gompertz_gen object at 0x0000018DEFB8B860>,0.013147882331232678,"(38.10210718969053, 729.9904585073282, 5.614259910687277e-23)"
56,<scipy.stats._continuous_distns.maxwell_gen object at 0x0000018DEFBADEF0>,0.013147882331232678,"(-100.05000000000035, 1.2325951644071314e-33)"
