,dist type,sse,params
2,<scipy.stats._continuous_distns.exponweib_gen object at 0x000002C09EA47BA8>,0.007705561952117836,"(2.689122198213041, 0.29064229359713156, 73.99999999999999, 0.7197929221602815)"
3,<scipy.stats._continuous_distns.exponpow_gen object at 0x000002C09EA47EB8>,0.010624778890487631,"(0.3891545569778009, 73.99999999999999, 88.47798902786747)"
0,<scipy.stats._continuous_distns.expon_gen object at 0x000002C09EA47748>,0.011939876925642875,"(74.0, 25.224299065420567)"
1,<scipy.stats._continuous_distns.exponnorm_gen object at 0x000002C09EA47908>,0.011942194055040574,"(2076.6800042100076, 73.96537323327834, 0.012144660178165706)"
