Time (s),Data Rate (kbpms),Time (s),Packet Interval (ms),Packet Length (bytes)
0,34.392,0.002389,0,1514
0.01,0,0.00249,0.044,1271
0.02,0,0.00249,0.044,1271
0.03,37.008,0.038113,35.623,84
0.04,123.984,0.039857,0.196,1514
0.05,0,0.042552,0.037,358
0.06,8.624,0.068889,26.337,1078
0.07,3.984,0.068889,26.337,1078
0.08,164.688,0.080517,3.171,1514
0.09,1.752,0.092472,8.354,82
0.1,1.664,0.093815,1.343,137
0.11,0,0.106596,12.781,208
0.12,139.08,0.123525,16.929,1514
0.13,0,0.126643,0.13,731
0.14,0,0.126643,0.13,731
0.15,0,0.164027,37.384,1514
0.16,151.752,0.164027,37.384,1514
0.17,6.928,0.167355,0.099,801
0.18,0,0.17706,9.705,866
0.19,0.616,0.194169,17.109,77
0.2,109.736,0.204316,10.147,91
0.21,48.24,0.209936,0.23,1514
0.22,0,0.21081,0.211,1488
0.23,8.624,0.238198,27.388,1078
0.24,109.008,0.238198,27.388,1078
0.25,47.512,0.250099,0.216,1514
0.26,0,0.250755,0.212,1397
0.27,4.112,0.277848,27.093,514
0.28,0,0.277848,27.093,514
0.29,161.904,0.290136,12.288,1514
0.3,0,0.293714,0.107,556
0.31,141.728,0.313046,19.332,975
0.32,72.464,0.321125,3.212,1514
0.33,158.04,0.330772,8.191,1514
0.34,0,0.334258,0.04,73
0.35,0,0.334258,0.04,73
0.36,0,0.372493,38.235,1514
0.37,46.384,0.372493,38.235,1514
0.38,9.232,0.378471,5.145,567
0.39,0.632,0.392774,7.984,79
0.4,0,0.392774,7.984,79
0.41,44.248,0.415198,22.424,1514
0.42,0,0.416105,0.107,989
0.43,0,0.416105,0.107,989
0.44,0,0.456745,40.64,1514
0.45,34.592,0.456745,40.64,1514
0.46,8.624,0.457395,0.179,1296
0.47,4.64,0.46892,11.525,1078
0.48,0,0.479108,10.188,580
0.49,31.216,0.494394,15.286,78
0.5,0,0.497516,0.042,718
0.51,0,0.497516,0.042,718
0.52,0,0.542402,44.886,1265
0.53,0,0.542402,44.886,1265
0.54,10.12,0.542402,44.886,1265
0.55,0,0.542402,44.886,1265
0.56,0,0.574869,32.467,1078
0.57,16,0.574869,32.467,1078
0.58,23.704,0.579768,4.899,922
0.59,0,0.580829,0.501,1449
0.6,0.672,0.608646,27.817,84
0.61,0,0.608646,27.817,84
0.62,31.976,0.622556,13.91,1514
0.63,0,0.62311,0.133,969
0.64,0,0.62311,0.133,969
0.65,0,0.664103,40.993,1514
0.66,31.192,0.664103,40.993,1514
0.67,0,0.664712,0.119,871
0.68,4.808,0.680455,15.743,515
0.69,0,0.68924,8.785,86
0.7,26.232,0.705724,16.484,1514
0.71,0,0.706308,0.052,251
0.72,0,0.706308,0.052,251
0.73,0,0.747066,40.758,1514
0.74,43.848,0.747066,40.758,1514
0.75,0,0.747842,0.134,939
0.76,8.624,0.768881,21.039,1078
0.77,0,0.768881,21.039,1078
0.78,28.472,0.780915,12.034,531
0.79,23.152,0.790007,0.085,1514
0.8,0.928,0.798599,7.603,78
0.81,0,0.808622,10.023,116
0.82,0,0.831126,22.504,1514
0.83,51.36,0.831126,22.504,1514
0.84,0,0.831798,0.037,364
0.85,0,0.831798,0.037,364
0.86,0,0.872953,41.155,1514
0.87,43.2,0.872953,41.155,1514
0.88,3.936,0.882303,8.482,492
0.89,0,0.882303,8.482,492
0.9,0,0.914103,31.8,76
0.91,48.656,0.914103,31.8,76
0.92,0.672,0.916278,0.201,1464
0.93,141.624,0.928613,12.335,84
0.94,0,0.93818,0.033,153
0.95,59.6,0.956131,17.951,1514
0.96,8.624,0.957263,0.2,1394
0.97,0,0.969041,11.778,1078
0.98,5.784,0.98219,13.149,723
0.99,52.472,0.997439,15.249,1514
1,0,0.998495,0.071,503
1.01,1.264,1.010332,11.837,79
1.02,0,1.010596,0.264,79
1.03,24.224,1.039343,28.747,1514
1.04,37.368,1.039914,0.571,1514
1.05,0,1.040601,0.053,129
1.06,8.624,1.068979,28.378,1078
1.07,0,1.068979,28.378,1078
1.08,68.032,1.081311,12.332,1514
1.09,0,1.082992,0.411,498
1.1,1.752,1.104571,21.579,82
1.11,0,1.104767,0.196,137
1.12,69.632,1.123065,18.298,1514
1.13,0,1.12735,2.762,208
1.14,0,1.12735,2.762,208
1.15,0,1.164551,37.201,1514
1.16,68.208,1.164551,37.201,1514
1.17,0,1.166042,0.259,956
1.18,14.152,1.183277,17.235,691
1.19,0,1.184712,1.435,1078
1.2,67.392,1.206842,22.13,1514
1.21,0,1.208277,0.11,854
1.22,0,1.208277,0.11,854
1.23,0,1.248361,40.084,1514
1.24,64.712,1.248361,40.084,1514
1.25,0,1.249683,0.088,519
1.26,0,1.249683,0.088,519
1.27,0,1.283887,34.204,556
1.28,4.448,1.283887,34.204,556
1.29,61.096,1.291945,8.058,1514
1.3,0,1.293305,0.028,67
1.31,0,1.293305,0.028,67
1.32,0,1.33128,37.975,1514
1.33,77.408,1.33128,37.975,1514
1.34,0,1.333151,0.051,592
1.35,0,1.333151,0.051,592
1.36,0,1.371568,38.417,1078
1.37,87.288,1.371568,38.417,1078
1.38,6.072,1.377271,0.099,749
1.39,0,1.384384,7.113,759
1.4,0,1.41528,30.896,1514
1.41,67.328,1.41528,30.896,1514
1.42,0,1.419873,3.21,79
1.43,0,1.419873,3.21,79
1.44,0,1.457008,37.135,1514
1.45,84.08,1.457008,37.135,1514
1.46,141.848,1.458968,0.503,1426
1.47,0,1.467601,0.037,181
1.48,4.824,1.484905,17.304,603
1.49,60.56,1.484905,17.304,603
1.5,18.936,1.50012,0.331,1514
1.51,0.624,1.510149,0.491,78
1.52,0,1.510149,0.491,78
1.53,0,1.542391,32.242,1514
1.54,64.48,1.542391,32.242,1514
1.55,8.624,1.543713,0.091,490
1.56,0,1.558514,14.801,1078
1.57,0,1.558514,14.801,1078
1.58,81.048,1.581638,23.124,1514
1.59,0,1.585723,1.136,707
1.6,0,1.585723,1.136,707
1.61,0,1.623506,37.783,1514
1.62,75.04,1.623506,37.783,1514
1.63,0,1.628535,3.08,84
1.64,8.624,1.648936,20.401,1078
1.65,0,1.648936,20.401,1078
1.66,76.28,1.667821,18.885,1514
1.67,0,1.668099,0.024,451
1.68,4.12,1.686315,18.216,515
1.69,0,1.686315,18.216,515
1.7,71.464,1.70727,20.955,1514
1.71,0,1.70882,0.481,1363
1.72,0,1.70882,0.481,1363
1.73,0,1.748493,39.673,1514
1.74,71.296,1.748493,39.673,1514
1.75,0,1.749909,0.187,1342
1.76,0,1.749909,0.187,1342
1.77,0,1.786845,36.936,723
1.78,17.896,1.786845,36.936,723
1.79,50.248,1.789858,3.013,1514
1.8,0.728,1.804262,12.63,91
1.81,0,1.804262,12.63,91
1.82,1.552,1.822649,18.387,78
1.83,63.592,1.828569,5.92,116
1.84,0,1.83803,5.156,1078
1.85,0,1.83803,5.156,1078
1.86,0,1.873357,35.327,1514
1.87,58.56,1.873357,35.327,1514
1.88,4.048,1.874517,0.175,1264
1.89,0,1.887647,13.13,506
1.9,0,1.887647,13.13,506
1.91,71.2,1.914252,26.605,84
1.92,0.672,1.916546,0.087,1246
1.93,0,1.928548,12.002,84
1.94,0,1.928548,12.002,84
1.95,79.064,1.957092,28.544,1514
1.96,0,1.958666,0.108,799
1.97,9.232,1.971996,13.33,76
1.98,0,1.97488,2.884,1078
1.99,194.536,1.990052,15.172,557
2,40.032,1.999906,0.104,1514
2.01,0,2.000632,0.075,462
2.02,0,2.030371,29.739,79
2.03,1.264,2.030371,29.739,79
2.04,86.664,2.040343,9.718,1514
2.05,0.648,2.051739,9.646,81
2.06,0,2.051739,9.646,81
2.07,0,2.082089,30.35,1514
2.08,88.448,2.082089,30.35,1514
2.09,0,2.08866,4.909,560
2.1,0,2.08866,4.909,560
2.11,0,2.124073,35.413,1514
2.12,90.896,2.124073,35.413,1514
2.13,0,2.12622,0.077,137
2.14,10.288,2.1464,20.18,208
2.15,0,2.149017,2.617,1078
2.16,12.112,2.16997,20.953,1514
2.17,72,2.16997,20.953,1514
2.18,7.32,2.171603,0.211,1430
2.19,0,2.189466,17.863,915
2.2,87.16,2.207451,17.985,1514
2.21,0,2.209532,0.061,297
2.22,0,2.209532,0.061,297
2.23,0,2.248817,39.285,1514
2.24,24.224,2.248817,39.285,1514
2.25,62.52,2.250484,1.128,1514
2.26,8.624,2.268872,17.754,1078
2.27,0,2.268872,17.754,1078
2.28,3.72,2.289915,21.043,465
2.29,95.624,2.289915,21.043,465
2.3,0,2.29259,0.195,1355
2.31,0,2.29259,0.195,1355
2.32,0,2.332662,40.072,1514
2.33,92.072,2.332662,40.072,1514
2.34,0,2.334477,0.111,911
2.35,0,2.334477,0.111,911
2.36,0,2.374608,40.131,1514
2.37,87.088,2.374608,40.131,1514
2.38,8.624,2.376407,0.07,288
2.39,4.744,2.390526,5.673,593
2.4,0,2.390526,5.673,593
2.41,66.984,2.415679,25.153,1514
2.42,0,2.417005,0.089,803
2.43,0.632,2.430572,13.567,79
2.44,0,2.430572,13.567,79
2.45,0,2.464707,34.135,1514
2.46,69.808,2.464707,34.135,1514
2.47,0,2.466435,0.027,1156
2.48,0,2.491265,24.83,620
2.49,4.96,2.491265,24.83,620
2.5,73.936,2.500168,8.903,1514
2.51,0,2.50171,0.031,158
2.52,142.064,2.524063,22.353,975
2.53,1.248,2.529386,0.025,208
2.54,65.784,2.536012,0.149,78
2.55,0,2.544441,0.027,653
2.56,8.624,2.569081,24.64,1078
2.57,0,2.569081,24.64,1078
2.58,71.536,2.582548,13.467,1514
2.59,7.24,2.591931,7.97,905
2.6,0,2.591931,7.97,905
2.61,0,2.624182,32.251,1514
2.62,78.16,2.624182,32.251,1514
2.63,0,2.625711,0.091,686
2.64,0,2.650273,24.562,84
2.65,0.672,2.650273,24.562,84
2.66,83.072,2.666736,16.463,1514
2.67,8.624,2.668296,0.025,1300
2.68,0.608,2.684307,9.496,76
2.69,3.728,2.692405,8.098,466
2.7,24.224,2.692405,8.098,466
2.71,61.552,2.710064,1.395,1514
2.72,0.688,2.725693,15.394,86
2.73,0,2.725693,15.394,86
2.74,24.224,2.749393,23.7,1514
2.75,59.304,2.74998,0.587,1514
2.76,0,2.751064,0.192,1357
2.77,0,2.751064,0.192,1357
2.78,0,2.791285,40.221,1514
2.79,95.744,2.791285,40.221,1514
2.8,0,2.793457,0.384,601
2.81,0,2.793457,0.384,601
2.82,0,2.836118,42.661,1514
2.83,104.28,2.836118,42.661,1514
2.84,1.552,2.843294,6.859,78
2.85,0,2.848557,5.263,116
2.86,8.624,2.868938,20.381,1078
2.87,103.488,2.868938,20.381,1078
2.88,0,2.876721,0.115,824
2.89,3.912,2.89334,16.619,489
2.9,0,2.89334,16.619,489
2.91,104.208,2.917134,23.794,1514
2.92,0,2.919545,0.124,914
2.93,0,2.919545,0.124,914
2.94,0.672,2.948522,28.977,84
2.95,84.784,2.948522,28.977,84
2.96,20.136,2.960099,0.2,1514
2.97,0,2.960242,0.143,1003
2.98,0,2.993985,33.743,726
2.99,5.808,2.993985,33.743,726
3,105.28,3.000384,6.399,1514
3.01,0,3.002471,0.133,1048
3.02,0,3.033096,30.625,76
3.03,9.232,3.033096,30.625,76
3.04,103.376,3.038724,5.628,1078
3.05,7.8,3.045225,0.077,652
3.06,134.144,3.059864,14.639,975
3.07,0,3.063275,0.036,193
3.08,105.32,3.082997,19.722,1514
3.09,3.968,3.094691,9.614,496
3.1,0,3.094691,9.614,496
3.11,0,3.094691,9.614,496
3.12,12.112,3.128014,33.323,1514
3.13,93.432,3.131946,3.932,1514
3.14,10.376,3.133381,0.144,1081
3.15,0,3.149002,0.968,1078
3.16,107.168,3.1667,17.698,1514
3.17,0,3.168894,0.037,208
3.18,0,3.168894,0.037,208
3.19,5.728,3.195361,26.467,716
3.2,72.672,3.195361,26.467,716
3.21,33.688,3.209926,0.211,1514
3.22,0,3.211137,0.051,1183
3.23,0,3.211137,0.051,1183
3.24,0,3.251523,40.386,1514
3.25,104.984,3.251523,40.386,1514
3.26,0,3.255753,0.408,1011
3.27,8.624,3.27489,19.137,1078
3.28,0.608,3.284742,9.852,76
3.29,109.696,3.291705,6.963,1514
3.3,0,3.297789,3.735,518
3.31,0.728,3.311742,13.953,91
3.32,0,3.311742,13.953,91
3.33,106.808,3.333211,21.469,1514
3.34,0,3.335653,0.517,1239
3.35,0,3.335653,0.517,1239
3.36,0,3.374587,38.934,1514
3.37,105.304,3.374587,38.934,1514
3.38,0,3.377153,0.426,1051
3.39,6.096,3.398591,21.438,762
3.4,0,3.398591,21.438,762
3.41,103.856,3.416331,17.74,1514
3.42,0,3.418392,0.097,870
3.43,0,3.418392,0.097,870
3.44,0,3.456241,37.849,1078
3.45,8.624,3.456241,37.849,1078
3.46,106.232,3.462089,5.848,79
3.47,0,3.468656,0.026,1088
3.48,0,3.468656,0.026,1088
3.49,4.96,3.497532,28.876,620
3.5,105.2,3.497532,28.876,620
3.51,0,3.505297,0.138,1038
3.52,0,3.505297,0.138,1038
3.53,0,3.54516,39.863,1514
3.54,104.304,3.54516,39.863,1514
3.55,1.248,3.55134,4.088,78
3.56,0,3.551684,0.344,78
3.57,8.624,3.574897,23.213,1078
3.58,104.376,3.583349,8.452,1514
3.59,147.656,3.590582,5.191,975
3.6,0,3.598162,4.144,713
3.61,0,3.598162,4.144,713
3.62,96.896,3.625555,27.393,1514
3.63,8.856,3.630051,0.167,1107
3.64,0,3.630051,0.167,1107
3.65,0,3.664593,34.542,76
3.66,104.44,3.664593,34.542,76
3.67,0,3.669681,0.035,84
3.68,0,3.669681,0.035,84
3.69,3.728,3.698655,28.974,466
3.7,36.336,3.698655,28.974,466
3.71,66.832,3.709886,0.213,1514
3.72,0,3.711232,0.239,784
3.73,0,3.711232,0.239,784
3.74,0,3.75055,39.318,1514
3.75,108.168,3.75055,39.318,1514
3.76,8.624,3.753258,0.674,1409
3.77,0,3.769078,15.82,1078
3.78,0,3.769078,15.82,1078
3.79,141.888,3.792697,23.619,84
3.8,0,3.799653,2.492,749
3.81,0,3.799653,2.492,749
3.82,0,3.833668,34.015,1514
3.83,137.624,3.833668,34.015,1514
3.84,0,3.836634,0.071,549
3.85,0,3.861559,24.925,78
3.86,1.552,3.861559,24.925,78
3.87,136.12,3.868595,7.036,116
3.88,0,3.878549,0.048,361
3.89,0,3.901337,22.788,527
3.9,4.216,3.901337,22.788,527
3.91,109.008,3.9174,16.063,1514
3.92,26.36,3.920143,0.572,1514
3.93,0,3.920425,0.054,267
3.94,0,3.920425,0.054,267
3.95,0,3.960632,40.207,1514
3.96,144.496,3.960632,40.207,1514
3.97,0,3.968973,0.15,84
3.98,0,3.968973,0.15,84
3.99,0,4.000652,31.679,1514
4,137.128,4.000652,31.679,1514
4.01,0,4.003712,0.21,1468
4.02,0,4.003712,0.21,1468
4.03,0,4.042759,39.047,1514
4.04,140.928,4.042759,39.047,1514
4.05,0,4.045878,0.131,962
4.06,9.888,4.06494,19.062,1078
4.07,0,4.065392,0.231,79
4.08,131.64,4.083889,18.497,1514
4.09,0,4.087012,0.204,1315
4.1,4,4.102039,15.027,500
4.11,0,4.102039,15.027,500
4.12,250.576,4.12079,18.751,975
4.13,29.696,4.130032,0.675,1514
4.14,0,4.130999,0.049,684
4.15,0,4.167242,36.243,1514
4.16,96.896,4.167242,36.243,1514
4.17,44.272,4.169751,0.247,1514
4.18,1.664,4.174806,4.006,1078
4.19,0,4.189224,14.418,208
4.2,31.352,4.204228,15.004,891
4.21,110.024,4.209989,0.748,1514
4.22,0,4.212392,0.037,127
4.23,0,4.212392,0.037,127
4.24,0,4.250995,38.603,1514
4.25,136.024,4.250995,38.603,1514
4.26,0,4.253987,0.04,349
4.27,0,4.253987,0.04,349
4.28,0,4.293108,39.121,1514
4.29,98.888,4.293108,39.121,1514
4.3,4.24,4.295164,0.232,249
4.31,73.688,4.308773,13.609,530
4.32,0,4.315239,0.05,127
4.33,105.816,4.334974,19.735,1514
4.34,0,4.336849,0.024,1115
4.35,0,4.336849,0.024,1115
4.36,0,4.371536,34.687,1078
4.37,107.752,4.371536,34.687,1078
4.38,0,4.378162,0.025,279
4.39,0,4.378162,0.025,279
4.4,4.224,4.403324,25.162,528
4.41,95.272,4.403324,25.162,528
4.42,0,4.419258,0.192,1311
4.43,0,4.419258,0.192,1311
4.44,0,4.460504,41.246,1514
4.45,0,4.460504,41.246,1514
4.46,100.288,4.460504,41.246,1514
4.47,0,4.469241,6.666,79
4.48,0,4.469241,6.666,79
4.49,0,4.501109,31.868,1514
4.5,93.08,4.501109,31.868,1514
4.51,0,4.503804,0.421,662
4.52,0,4.503804,0.421,662
4.53,0,4.542922,39.118,1514
4.54,86.944,4.542922,39.118,1514
4.55,8.624,4.545017,0.039,270
4.56,0,4.555016,9.999,1078
4.57,0,4.580373,25.357,78
4.58,83.128,4.580373,25.357,78
4.59,0,4.586294,0.496,1151
4.6,6.904,4.6046,18.306,863
4.61,0,4.6046,18.306,863
4.62,60.56,4.62858,23.98,1514
4.63,25.168,4.6298,0.229,1514
4.64,8.624,4.649003,18.378,1078
4.65,141.896,4.649003,18.378,1078
4.66,80.752,4.655865,0.035,187
4.67,0.608,4.669308,0.137,1010
4.68,0.672,4.673221,3.913,76
4.69,0,4.68873,15.509,84
4.7,16.36,4.705709,16.979,531
4.71,73.24,4.710153,0.585,1514
4.72,0,4.711314,0.041,71
4.73,0.688,4.731939,20.625,86
4.74,0,4.731939,20.625,86
4.75,80.512,4.752045,20.106,1514
4.76,0,4.756919,0.064,980
4.77,0,4.756919,0.064,980
4.78,8.624,4.788877,31.958,1078
4.79,82.344,4.788877,31.958,1078
4.8,3.936,4.795412,0.653,1209
4.81,0,4.80569,10.278,492
4.82,0,4.80569,10.278,492
4.83,83.952,4.834818,29.128,1514
4.84,0,4.836479,0.182,1410
4.85,0,4.836479,0.182,1410
4.86,0,4.875453,38.974,78
4.87,89.776,4.875453,38.974,78
4.88,0.928,4.878364,0.095,546
4.89,0.728,4.889375,11.011,116
4.9,4.248,4.896879,7.504,91
4.91,82.144,4.90645,9.571,531
4.92,0,4.919836,0.159,1184
4.93,0,4.919836,0.159,1184
4.94,0,4.959928,40.092,1514
4.95,12.112,4.959928,40.092,1514
4.96,71.944,4.959928,40.092,1514
4.97,0,4.961608,0.201,1423
4.98,9.912,4.984856,23.248,1078
4.99,0,4.989614,0.918,77
5,89.68,5.002298,12.684,1514
5.01,0,5.008116,2.438,707
5.02,0,5.008116,2.438,707
5.03,0,5.043162,35.046,1514
5.04,85.624,5.043162,35.046,1514
5.05,0,5.044914,0.032,105
5.06,0,5.074839,29.925,1078
5.07,8.624,5.074839,29.925,1078
5.08,83.768,5.082332,7.493,79
5.09,0,5.087933,0.189,1229
5.1,3.928,5.107604,19.671,491
5.11,0,5.107604,19.671,491
5.12,76.768,5.126522,18.918,1514
5.13,0,5.129102,1.039,512
5.14,0,5.129102,1.039,512
5.15,0,5.168023,38.921,1514
5.16,86.44,5.168023,38.921,1514
5.17,0,5.169773,0.035,207
5.18,40.752,5.186528,16.755,82
5.19,103.752,5.190064,0.148,975
5.2,1.664,5.196596,0.038,217
5.21,91.824,5.210349,2.656,714
5.22,0,5.212373,0.054,166
5.23,0,5.212373,0.054,166
5.24,0,5.252774,40.401,1514
5.25,91.2,5.252774,40.401,1514
5.26,0,5.254993,0.586,1078
5.27,0,5.254993,0.586,1078
5.28,0,5.293774,38.781,1514
5.29,84.576,5.293774,38.781,1514
5.3,4.248,5.295453,0.214,1488
5.31,0,5.308891,13.438,531
5.32,0,5.308891,13.438,531
5.33,82.28,5.335396,26.505,1514
5.34,0,5.337472,0.167,1201
5.35,0,5.337472,0.167,1201
5.36,0,5.374893,37.421,1078
5.37,90.264,5.374893,37.421,1078
5.38,0,5.378269,0.041,1121
5.39,0,5.378269,0.041,1121
5.4,5.944,5.409499,31.23,743
5.41,48.448,5.409499,31.23,743
5.42,38.456,5.419691,0.183,1514
5.43,0,5.420918,0.032,265
5.44,0,5.420918,0.032,265
5.45,0,5.463501,42.583,1514
5.46,83.696,5.463501,42.583,1514
5.47,0,5.465184,0.212,1378
5.48,0.632,5.489419,24.235,79
5.49,0.632,5.490279,0.86,79
5.5,86.312,5.502002,11.723,1514
5.51,5.664,5.510107,5.857,708
5.52,0,5.510107,5.857,708
5.53,0,5.543498,33.391,1514
5.54,83.064,5.543498,33.391,1514
5.55,8.624,5.54528,0.316,1299
5.56,0,5.555035,9.755,1078
5.57,0,5.584862,29.827,1514
5.58,86.584,5.584862,29.827,1514
5.59,1.248,5.592884,6.221,78
5.6,0,5.593071,0.187,78
5.61,4.816,5.610831,17.76,602
5.62,83.592,5.627129,16.298,1514
5.63,0,5.628967,0.198,1365
5.64,0,5.628967,0.198,1365
5.65,8.624,5.651365,22.398,1078
5.66,12.784,5.668414,17.049,84
5.67,98.624,5.670246,0.661,1514
5.68,0,5.671833,0.036,216
5.69,0,5.701046,29.213,76
5.7,1.28,5.701046,29.213,76
5.71,116.776,5.71011,1.48,1514
5.72,142.168,5.722575,9.909,975
5.73,0,5.729228,0.024,221
5.74,0,5.729228,0.024,221
5.75,112.888,5.753849,24.621,1514
5.76,0,5.756396,0.344,485
5.77,0,5.756396,0.344,485
5.78,8.624,5.789013,32.617,1078
5.79,111.648,5.789013,32.617,1078
5.8,0,5.799028,0.03,330
5.81,5.656,5.812089,13.061,707
5.82,0,5.812089,13.061,707
5.83,113.296,5.835859,23.77,1514
5.84,0,5.838713,0.041,536
5.85,0,5.838713,0.041,536
5.86,0,5.877213,38.5,1514
5.87,96.896,5.877213,38.5,1514
5.88,13.744,5.879986,0.221,1514
5.89,0.624,5.897597,17.346,78
5.9,0.928,5.897597,17.346,78
5.91,28.4,5.908628,11.031,116
5.92,93.704,5.920141,0.511,1514
5.93,0,5.923979,0.033,1115
5.94,0,5.923979,0.033,1115
5.95,0,5.960828,36.849,1514
5.96,110.28,5.960828,36.849,1514
5.97,0,5.963416,0.038,159
5.98,8.624,5.98487,21.454,1078
5.99,0,5.98487,21.454,1078
6,110.912,6.002959,18.089,1514
6.01,4.12,6.008718,3.259,84
6.02,0,6.013473,4.755,515
6.03,0,6.045461,31.988,1514
6.04,114.2,6.045461,31.988,1514
6.05,0,6.04804,0.089,649
6.06,0,6.04804,0.089,649
6.07,0,6.086197,38.157,1514
6.08,110.424,6.086197,38.157,1514
6.09,1.264,6.088435,0.037,177
6.1,0,6.098192,0.48,79
6.11,4.536,6.113894,15.702,567
6.12,95.6,6.113894,15.702,567
6.13,0,6.129767,0.183,1352
6.14,8.624,6.149132,19.365,1078
6.15,0,6.149132,19.365,1078
6.16,12.112,6.169719,20.587,1514
6.17,88.728,6.17027,0.551,1514
6.18,0,6.171891,0.045,493
6.19,0,6.206989,35.098,82
6.2,1.752,6.206989,35.098,82
6.21,110.376,6.211189,4.035,1514
6.22,1.664,6.215509,0.454,672
6.23,0,6.22882,13.311,208
6.24,0,6.22882,13.311,208
6.25,105.304,6.257063,28.243,1514
6.26,142,6.259396,0.399,1051
6.27,8.624,6.269647,0.036,200
6.28,0,6.27499,5.343,1078
6.29,96.272,6.294175,19.185,1514
6.3,0,6.296443,0.564,1436
6.31,5.44,6.315693,19.25,680
6.32,0,6.315693,19.25,680
6.33,98.976,6.336694,21.001,1514
6.34,0,6.338584,0.034,260
6.35,0,6.338584,0.034,260
6.36,0,6.378386,39.802,1514
6.37,84.784,6.378386,39.802,1514
6.38,17.664,6.379546,0.031,1514
6.39,0,6.381716,0.058,694
6.4,0,6.415741,34.025,551
6.41,16.52,6.415741,34.025,551
6.42,88.544,6.420106,0.68,1514
6.43,8.624,6.434971,13.486,1078
6.44,0.728,6.444188,9.217,91
6.45,0,6.444188,9.217,91
6.46,95.016,6.462786,18.598,1514
6.47,0,6.464951,0.183,1279
6.48,0,6.464951,0.183,1279
6.49,0,6.502857,37.906,1514
6.5,107.968,6.502857,37.906,1514
6.51,6.272,6.505371,0.038,79
6.52,0,6.516298,10.927,784
6.53,0,6.516298,10.927,784
6.54,95.816,6.544526,28.228,1514
6.55,0,6.547734,0.06,1379
6.56,8.624,6.569066,21.332,1078
6.57,0,6.569066,21.332,1078
6.58,92.176,6.587477,18.411,1514
6.59,0,6.589362,0.14,924
6.6,1.248,6.606536,17.174,78
6.61,5.744,6.606623,0.087,78
6.62,96.896,6.616875,10.252,718
6.63,8.6,6.629963,0.181,1514
6.64,0,6.630113,0.15,1075
6.65,0,6.669638,39.525,1514
6.66,12.112,6.669638,39.525,1514
6.67,88.832,6.670246,0.608,1514
6.68,0,6.671671,0.079,506
6.69,0,6.671671,0.079,506
6.7,0,6.711636,39.965,1514
6.71,114.728,6.711636,39.965,1514
6.72,0.672,6.717549,3.388,531
6.73,0,6.728657,11.108,84
6.74,0,6.728657,11.108,84
6.75,118.936,6.751554,22.897,1078
6.76,0,6.757047,0.045,163
6.77,0.608,6.771032,13.985,76
6.78,0,6.771032,13.985,76
6.79,251.12,6.793536,22.504,975
6.8,9.408,6.799565,0.143,975
6.81,4.808,6.811941,11.414,86
6.82,0,6.818174,6.233,515
6.83,126.232,6.836743,18.569,1514
6.84,0,6.839567,0.08,639
6.85,0,6.839567,0.08,639
6.86,0,6.874911,35.344,1078
6.87,8.624,6.874911,35.344,1078
6.88,120.88,6.880233,5.322,1514
6.89,0,6.883094,0.651,1484
6.9,0,6.911149,28.055,78
6.91,18.336,6.911149,28.055,78
6.92,98.872,6.919718,1.003,1514
6.93,0,6.929896,7.945,116
6.94,0,6.929896,7.945,116
6.95,0,6.962125,32.229,1514
6.96,124.344,6.962125,32.229,1514
6.97,0,6.965111,0.027,403
6.98,0,6.965111,0.027,403
6.99,1.664,6.994921,29.81,104
7,114.896,7.002288,5.701,110
7.01,5.864,7.007948,1.614,516
7.02,0.672,7.019418,4.801,515
7.03,0,7.028513,9.095,84
7.04,113.264,7.045089,16.576,1514
7.05,0,7.048716,0.051,532
7.06,8.624,7.065011,16.295,1078
7.07,0,7.065011,16.295,1078
7.08,111.736,7.086546,21.535,1514
7.09,0,7.088978,0.03,341
7.1,0,7.088978,0.03,341
7.11,5.376,7.116107,27.129,79
7.12,48.448,7.119909,3.599,514
7.13,71.048,7.130088,0.231,1514
7.14,0,7.13146,0.481,1311
7.15,0,7.13146,0.481,1311
7.16,20.736,7.168994,37.534,1078
7.17,113,7.169945,0.951,1514
7.18,0,7.172768,0.08,499
7.19,0,7.172768,0.08,499
7.2,1.664,7.208635,35.867,208
7.21,120.048,7.208635,35.867,208
7.22,6.136,7.220631,5.008,548
7.23,0,7.222293,0.828,137
7.24,0,7.222293,0.828,137
7.25,84.784,7.258179,35.886,1514
7.26,47.672,7.260055,0.209,1514
7.27,0,7.261173,0.195,1417
7.28,0,7.295592,34.419,1514
7.29,128.36,7.295592,34.419,1514
7.3,0,7.2987,0.108,905
7.31,0.632,7.319954,21.254,79
7.32,149.36,7.319954,21.254,79
7.33,12.112,7.3284,0.034,178
7.34,115.872,7.340277,2.838,1514
7.35,0,7.342417,0.128,858
7.36,8.624,7.369099,26.682,1078
7.37,48.448,7.369099,26.682,1078
7.38,97.712,7.379991,0.225,1514
7.39,0,7.382172,0.033,102
7.4,0,7.382172,0.033,102
7.41,0,7.42019,38.018,1514
7.42,133.664,7.42019,38.018,1514
7.43,0,7.423129,0.069,551
7.44,0,7.423129,0.069,551
7.45,0,7.467185,44.056,1514
7.46,121.12,7.467185,44.056,1514
7.47,6.832,7.470053,0.158,854
7.48,0,7.470053,0.158,854
7.49,0,7.504541,34.488,1514
7.5,146.832,7.504541,34.488,1514
7.51,0,7.508643,0.049,186
7.52,6.48,7.522531,13.888,731
7.53,0,7.526828,4.297,79
7.54,133.904,7.545456,18.628,84
