Time (s),Speed (m/s),Distance (m),Height (m)
187.799,0,19.8,49.9
187.815,0,19.8,49.9
187.865,0,19.8,49.9
187.87,0,19.8,49.9
187.954,0,19.8,49.9
187.962,0,19.8,49.9
187.968,0,19.8,49.9
187.981,0,19.8,49.9
188.086,0,19.81,49.9
188.099,0,19.81,49.9
188.105,0,19.81,49.9
188.118,0,19.81,49.9
188.177,0,19.81,49.9
188.181,0,19.81,49.9
188.217,0,19.82,49.9
188.225,0,19.82,49.9
188.279,0,19.82,49.9
188.283,0,19.82,49.9
188.35,0,19.82,49.9
188.374,0,19.82,49.9
188.445,0,19.83,49.9
188.455,0,19.83,49.9
188.458,0,19.83,49.9
188.47,0,19.83,49.9
188.565,0,19.83,49.9
188.574,0,19.83,49.9
188.581,0,19.83,49.9
188.583,0,19.83,49.9
188.698,0,19.86,49.9
188.705,0,19.86,49.9
188.708,0,19.86,49.9
188.719,0,19.86,49.9
188.79,0,19.87,49.9
188.796,0,19.87,49.9
188.802,0,19.87,49.9
188.811,0,19.87,49.9
188.895,0,19.88,49.9
188.956,0,19.88,49.9
188.965,0,19.88,49.9
188.973,0,19.88,49.9
189.01,0,19.89,49.9
189.014,0,19.89,49.9
189.026,0,19.89,49.9
189.045,0,19.89,49.9
189.114,0,19.9,49.9
189.121,0,19.9,49.9
189.126,0,19.9,49.9
189.131,0,19.9,49.9
189.21,0,19.9,49.9
189.217,0,19.9,49.9
189.222,0,19.9,49.9
189.23,0,19.9,49.9
189.304,0,19.91,49.9
189.317,0,19.91,49.9
189.32,0,19.91,49.9
189.386,0,19.91,49.9
189.404,0,19.91,49.9
189.414,0,19.91,49.9
189.416,0,19.91,49.9
189.632,0,19.92,49.9
189.634,0,19.92,49.9
189.637,0,19.92,49.9
189.64,0,19.92,49.9
189.993,0,19.92,49.9
190.043,0,19.92,49.9
190.048,0,19.92,49.9
190.049,0,19.92,49.9
190.092,0,19.92,49.9
190.095,0,19.92,49.9
190.101,0,19.92,49.9
190.113,0,19.92,49.9
190.225,0,19.93,49.9
190.235,0,19.93,49.9
190.242,0,19.93,49.9
190.25,0,19.93,49.9
190.372,0,19.93,49.9
190.378,0,19.93,49.9
190.384,0,19.93,49.9
190.393,0,19.93,49.9
190.495,0,19.92,49.9
190.503,0,19.92,49.9
190.509,0,19.92,49.9
190.512,0,19.92,49.9
190.711,0,19.93,49.9
190.724,0,19.93,49.9
190.734,0,19.93,49.9
190.747,0,19.93,49.9
190.811,0,19.93,49.9
190.814,0,19.93,49.9
190.827,0,19.93,49.9
190.84,0,19.93,49.9
190.935,0,19.93,49.9
190.94,0,19.93,49.9
190.946,0,19.93,49.9
190.949,0,19.93,49.9
191.657,0,19.94,49.9
191.704,0,19.94,49.9
191.707,0,19.94,49.9
191.711,0,19.94,49.9
193.809,0.58,19.87,49.9
193.852,0.58,19.87,49.9
193.854,0.58,19.87,49.9
193.856,0.58,19.87,49.9
195.593,0.86,19.79,49.9
195.648,1.14,19.66,49.9
195.652,1.14,19.66,49.9
195.655,1.14,19.66,49.9
195.694,1.7,19.33,49.8
195.697,1.7,19.33,49.8
195.7,1.7,19.33,49.8
195.703,1.7,19.33,49.8
195.815,1.84,19.13,49.8
195.819,1.84,19.13,49.8
195.821,1.84,19.13,49.8
195.833,1.84,19.13,49.8
196.043,1.98,18.91,49.8
196.045,1.98,18.91,49.8
196.049,1.98,18.91,49.8
196.052,1.98,18.91,49.8
196.159,2.27,18.21,49.9
196.162,2.27,18.21,49.9
196.179,2.27,18.21,49.9
196.182,2.27,18.21,49.9
196.252,2.41,17.49,49.9
196.256,2.41,17.49,49.9
196.26,2.41,17.49,49.9
196.268,2.41,17.49,49.9
196.354,2.41,17.02,49.9
196.357,2.41,17.02,49.9
196.365,2.41,17.02,49.9
196.377,2.41,17.02,49.9
196.47,2.41,16.55,49.9
196.475,2.41,16.55,49.9
196.478,2.41,16.55,49.9
196.493,2.41,16.55,49.9
196.57,2.41,16.32,49.9
196.572,2.41,16.32,49.9
196.574,2.41,16.32,49.9
196.578,2.41,16.32,49.9
196.685,2.41,15.87,49.8
196.742,2.13,15.66,49.8
196.753,2.13,15.66,49.8
196.756,2.13,15.66,49.8
196.771,1.91,15.47,49.8
196.777,1.91,15.47,49.8
196.787,1.91,15.47,49.8
196.794,1.91,15.47,49.8
196.873,1.42,15.18,49.8
196.878,1.42,15.18,49.8
196.886,1.42,15.18,49.8
196.893,1.42,15.18,49.8
196.972,1.56,14.94,49.8
196.977,1.56,14.94,49.8
196.984,1.56,14.94,49.8
196.997,1.56,14.94,49.8
197.078,1.77,14.49,49.8
197.088,1.77,14.49,49.8
197.09,1.77,14.49,49.8
197.095,1.77,14.49,49.8
197.235,1.91,14.14,49.8
197.239,1.91,14.14,49.8
197.247,1.91,14.14,49.8
197.249,1.91,14.14,49.8
197.373,1.98,13.56,49.8
197.385,1.98,13.56,49.8
197.392,1.98,13.56,49.8
197.4,1.98,13.56,49.8
197.458,2.05,13.17,49.8
197.539,2.13,12.97,49.8
197.542,2.13,12.97,49.8
197.555,2.13,12.97,49.8
197.577,2.13,12.77,49.8
197.676,2.13,12.38,49.8
197.695,2.13,12.38,49.8
197.755,2.13,12.38,49.8
197.761,2.13,12.38,49.8
197.796,2.13,12.18,49.8
197.799,2.13,12.18,49.8
197.803,2.13,12.18,49.8
197.814,2.13,12.18,49.8
197.901,2.13,11.79,49.8
197.906,2.13,11.79,49.8
197.913,2.13,11.79,49.8
197.926,2.13,11.79,49.8
198.02,2.13,11.41,49.8
198.026,2.13,11.41,49.8
198.039,2.13,11.41,49.8
198.053,2.13,11.41,49.8
198.159,2.19,11.03,49.8
198.166,2.19,11.03,49.8
198.17,2.19,11.03,49.8
198.181,2.19,11.03,49.8
198.265,2.19,10.66,49.8
198.273,2.19,10.66,49.8
198.282,2.19,10.66,49.8
198.285,2.19,10.66,49.8
198.379,2.19,10.3,49.8
198.382,2.19,10.3,49.8
198.39,2.19,10.3,49.8
198.397,2.19,10.3,49.8
198.471,2.27,9.23,49.8
198.476,2.27,9.23,49.8
198.481,2.27,9.23,49.8
198.487,2.27,9.23,49.8
198.591,2.19,8.72,49.8
198.594,2.19,8.72,49.8
198.598,2.19,8.72,49.8
198.611,2.19,8.72,49.8
198.701,2.19,8.56,49.8
198.764,2.19,8.56,49.8
198.793,1.91,8.27,49.9
198.799,1.91,8.27,49.9
198.849,1.63,8.15,49.9
198.854,1.63,8.15,49.9
198.863,1.63,8.15,49.9
198.874,1.63,8.15,49.9
198.988,1.06,7.98,49.9
198.998,1.06,7.98,49.9
199.003,1.06,7.98,49.9
199.013,1.06,7.98,49.9
199.065,0.57,7.9,49.9
199.081,0.57,7.9,49.9
199.09,0.57,7.9,49.9
199.093,0.57,7.9,49.9
199.151,0.28,7.87,49.9
199.171,0.28,7.87,49.9
199.219,0.22,7.86,49.9
199.237,0.22,7.86,49.9
199.294,0.14,7.86,49.9
199.302,0.14,7.86,49.9
199.391,0.14,7.86,49.9
199.404,0.14,7.86,49.9
199.407,0.14,7.86,49.9
199.414,0.14,7.86,49.9
199.506,0,7.85,49.9
199.51,0,7.85,49.9
199.523,0,7.85,49.9
199.528,0,7.85,49.9
199.612,0,7.85,49.9
199.614,0,7.85,49.9
199.618,0,7.85,49.9
199.621,0,7.85,49.9
199.692,0,7.84,49.9
199.701,0,7.84,49.9
199.708,0,7.84,49.9
199.758,0,7.85,49.9
199.869,0,7.85,49.9
199.873,0,7.85,49.9
199.878,0,7.85,49.9
199.881,0,7.85,49.9
201.214,0,7.85,49.9
201.25,0,7.85,49.9
201.253,0,7.85,49.9
201.261,0,7.85,49.9
201.943,0,7.85,49.9
201.948,0,7.85,49.9
201.978,0,7.85,49.9
201.981,0,7.85,49.9
202.044,0.45,7.82,49.9
202.054,0.45,7.82,49.9
202.06,0.45,7.82,49.9
202.066,0.45,7.82,49.9
202.145,1.03,7.68,49.9
202.156,1.03,7.68,49.9
202.16,1.03,7.68,49.9
202.174,1.03,7.68,49.9
202.237,1.53,7.46,49.8
202.293,1.53,7.46,49.8
202.3,1.53,7.46,49.8
202.31,1.66,7.33,49.8
202.332,1.89,7.19,49.8
202.339,1.89,7.19,49.8
202.353,1.89,7.19,49.8
202.42,2.08,6.9,49.9
202.424,2.08,6.9,49.9
202.428,2.08,6.9,49.9
202.464,2.16,6.76,49.9
202.521,2.22,6.5,49.9
202.526,2.22,6.5,49.9
202.532,2.22,6.5,49.9
202.563,2.22,6.38,49.9
202.642,1.22,6.07,49.9
202.644,1.22,6.07,49.9
202.653,1.22,6.07,49.9
202.667,1.22,6.07,49.9
202.738,0.5,6.01,49.9
202.74,0.5,6.01,49.9
202.742,0.5,6.01,49.9
202.752,0.5,6.01,49.9
202.836,0.36,6,49.9
202.845,0.36,6,49.9
202.854,0.36,6,49.9
202.871,0.36,6,49.9
203.002,0.14,6,49.9
203.008,0.14,6,49.9
203.016,0.14,6,49.9
203.025,0.14,6,49.9
203.152,0.1,6,49.9
203.158,0.1,6,49.9
203.17,0.1,6,49.9
203.172,0.1,6,49.9
203.271,0,6,49.9
203.324,0,6,49.9
203.334,0,6,49.9
203.342,0,6,49.9
203.429,0,5.99,49.9
203.432,0,5.99,49.9
203.434,0,5.99,49.9
203.441,0,5.99,49.9
203.516,0,5.99,49.9
203.52,0,5.99,49.9
203.525,0,5.99,49.9
203.538,0,5.99,49.9
203.62,0,6,49.9
203.623,0,6,49.9
203.626,0,6,49.9
203.632,0,6,49.9
203.726,0,6,49.9
203.736,0,6,49.9
203.738,0,6,49.9
203.739,0,6,49.9
203.962,0,6,49.9
203.966,0,6,49.9
203.972,0,6,49.9
203.984,0,6,49.9
206.618,0,6,49.9
206.68,0,6,49.9
206.688,0,6,49.9
206.693,0,6,49.9
206.826,0,6.01,49.9
206.832,0,6.01,49.9
206.837,0,6.01,49.9
206.843,0,6.01,49.9
207.057,0,6.02,49.9
207.061,0,6.02,49.9
207.07,0,6.02,49.9
207.074,0,6.02,49.9
208.428,0,6.03,49.9
208.464,0,6.04,49.9
208.466,0,6.04,49.9
208.477,0,6.04,49.9
208.535,0,6.06,49.9
208.539,0,6.06,49.9
208.542,0,6.06,49.9
208.545,0,6.06,49.9
208.632,0,6.07,49.9
208.64,0,6.07,49.9
208.642,0,6.07,49.9
208.644,0,6.07,49.9
208.742,0,6.07,49.9
208.745,0,6.07,49.9
208.749,0,6.07,49.9
208.761,0,6.07,49.9
208.848,0.4,6.07,49.9
208.851,0.4,6.07,49.9
208.855,0.4,6.07,49.9
208.859,0.4,6.07,49.9
208.94,0.7,6.07,49.7
208.943,0.7,6.07,49.7
208.952,0.7,6.07,49.7
208.955,0.7,6.07,49.7
209.039,0.8,6.06,49.4
209.042,0.8,6.06,49.4
209.045,0.8,6.06,49.4
209.049,0.8,6.06,49.4
209.147,0.8,6.04,49.2
209.151,0.8,6.04,49.2
209.154,0.8,6.04,49.2
209.156,0.8,6.04,49.2
209.267,0.8,6.02,49
209.269,0.8,6.02,49
209.271,0.8,6.02,49
209.274,0.8,6.02,49
209.373,0.8,6,48.7
209.378,0.8,6,48.7
209.381,0.8,6,48.7
209.391,0.8,6,48.7
209.481,0.8,6,48.5
209.528,0.8,6.01,48.4
209.531,0.8,6.01,48.4
209.535,0.8,6.01,48.4
209.596,0.8,6.01,48.2
209.601,0.8,6.01,48.2
209.608,0.8,6.01,48.2
209.611,0.8,6.01,48.2
209.69,0.8,6.01,48
209.695,0.8,6.01,48
209.7,0.8,6.01,48
209.705,0.8,6.01,48
209.78,0.8,6.01,47.9
209.785,0.8,6.01,47.9
209.791,0.8,6.01,47.9
209.825,0.8,6,47.7
209.878,0.8,6,47.5
209.881,0.8,6,47.5
209.889,0.8,6,47.5
209.928,0.8,5.99,47.4
209.979,0.8,5.98,47.3
209.982,0.8,5.98,47.3
209.985,0.8,5.98,47.3
210.022,0.8,5.98,47.2
210.071,0.8,5.99,47
210.08,0.8,5.99,47
210.084,0.8,5.99,47
210.115,0.8,5.99,46.9
210.167,0.8,5.99,46.7
210.171,0.8,5.99,46.7
210.179,0.8,5.99,46.7
210.209,0.8,5.99,46.6
210.255,0.8,5.99,46.5
210.26,0.8,5.99,46.5
210.265,0.8,5.99,46.5
210.306,0.8,5.99,46.5
210.796,0.8,5.99,46.3
210.879,0.8,5.99,46.2
210.881,0.8,5.99,46.2
210.883,0.8,5.99,46.2
210.914,0.8,5.98,46.1
210.916,0.8,5.98,46.1
210.919,0.8,5.98,46.1
210.931,0.8,5.98,46.1
211.028,0.8,5.96,45.8
211.033,0.8,5.96,45.8
211.041,0.8,5.96,45.8
211.049,0.8,5.96,45.8
211.187,0.8,5.95,45.6
211.201,0.8,5.95,45.6
211.213,0.8,5.95,45.6
211.253,0.8,5.95,45.6
211.278,0.8,5.96,45.5
211.322,0.8,5.96,45.4
211.333,0.8,5.96,45.4
211.339,0.8,5.96,45.4
211.365,0.8,5.96,45.4
211.438,0.8,5.95,45.3
211.443,0.8,5.95,45.3
211.454,0.8,5.95,45.3
211.579,0.8,5.94,44.9
211.583,0.8,5.94,44.9
211.592,0.8,5.94,44.9
211.601,0.8,5.94,44.9
211.674,0.8,5.94,44.8
211.678,0.8,5.94,44.8
211.683,0.8,5.94,44.8
211.705,0.8,5.94,44.8
211.829,0.8,5.94,44.7
211.892,0.8,5.94,44.6
211.895,0.8,5.94,44.6
211.907,0.8,5.94,44.6
212.045,0.8,5.95,44.5
212.05,0.8,5.95,44.5
212.055,0.8,5.95,44.5
212.064,0.8,5.95,44.5
212.395,0.8,5.95,44.4
212.397,0.8,5.95,44.4
212.4,0.8,5.95,44.4
212.405,0.8,5.95,44.4
212.588,0.8,5.94,44.2
212.591,0.8,5.94,44.2
212.594,0.8,5.94,44.2
212.597,0.8,5.94,44.2
213.158,0.8,5.94,44.2
213.222,0.8,5.94,44.2
213.224,0.8,5.94,44.2
213.227,0.8,5.94,44.2
213.599,0.8,5.94,44.1
213.605,0.8,5.94,44.1
213.608,0.8,5.94,44.1
213.611,0.8,5.94,44.1
213.693,0.8,5.94,43.9
213.98,0.8,5.94,43.8
213.989,0.8,5.94,43.8
213.992,0.8,5.94,43.8
213.995,0.8,5.94,43.8
214.304,0.8,5.93,43.7
214.365,0.8,5.93,43.7
214.372,0.8,5.93,43.7
214.374,0.8,5.93,43.7
214.451,0.8,5.93,43.6
214.454,0.8,5.93,43.6
214.457,0.8,5.93,43.6
214.46,0.8,5.93,43.6
214.554,0.8,5.92,43.3
214.556,0.8,5.92,43.3
214.559,0.8,5.92,43.3
214.563,0.8,5.92,43.3
214.649,0.8,5.91,43
214.654,0.8,5.91,43
214.659,0.8,5.91,43
214.666,0.8,5.91,43
214.748,0.8,5.91,42.9
214.808,0.8,5.91,42.8
214.824,0.8,5.91,42.8
214.833,0.8,5.91,42.8
214.836,0.8,5.91,42.8
214.905,0.8,5.9,42.7
214.92,0.8,5.9,42.7
214.942,0.8,5.9,42.6
214.952,0.8,5.9,42.6
215.038,0.8,5.9,42.5
215.053,0.8,5.9,42.5
215.086,0.8,5.9,42.5
215.099,0.8,5.9,42.5
215.132,0.8,5.91,42.4
215.136,0.8,5.91,42.4
215.17,0.8,5.91,42.4
215.221,0.8,5.91,42.3
215.264,0.8,5.91,42.2
215.268,0.8,5.91,42.2
215.286,0.8,5.91,42.2
215.339,0.8,5.91,42
215.413,0.8,5.91,41.8
215.417,0.8,5.91,41.8
215.419,0.8,5.91,41.8
215.443,0.8,5.91,41.8
215.473,0.8,5.9,41.7
215.479,0.8,5.9,41.7
215.483,0.8,5.9,41.7
215.636,0.8,5.9,41.6
215.646,0.8,5.9,41.6
215.652,0.8,5.9,41.6
215.659,0.8,5.9,41.6
216.057,0.8,5.9,41.5
216.062,0.8,5.9,41.5
216.066,0.8,5.9,41.5
216.069,0.8,5.9,41.5
216.226,0.8,5.89,41.4
216.234,0.8,5.89,41.4
216.241,0.8,5.89,41.4
216.244,0.8,5.89,41.4
216.319,0.8,5.87,41.1
216.323,0.8,5.87,41.1
216.328,0.8,5.87,41.1
216.698,0.8,5.87,41
216.741,0.8,5.87,41
216.747,0.8,5.87,41
216.75,0.8,5.87,41
216.958,0.8,5.86,40.8
216.961,0.8,5.86,40.8
216.964,0.8,5.86,40.8
216.978,0.8,5.86,40.8
217.154,0.8,5.86,40.9
217.158,0.8,5.86,40.9
217.172,0.8,5.86,40.9
217.187,0.8,5.86,40.9
217.266,0.8,5.87,40.6
217.273,0.8,5.87,40.6
217.276,0.8,5.87,40.6
217.286,0.8,5.87,40.6
217.382,0.8,5.86,40.3
217.387,0.8,5.86,40.3
217.397,0.8,5.86,40.3
217.402,0.8,5.86,40.3
217.487,0.8,5.84,40
217.491,0.8,5.84,40
217.493,0.8,5.84,40
217.497,0.8,5.84,40
217.663,0.8,5.82,39.5
217.671,0.8,5.82,39.5
217.678,0.8,5.82,39.5
217.691,0.8,5.82,39.5
217.854,0.8,5.82,39.6
217.906,0.8,5.82,39.6
217.909,0.8,5.82,39.6
217.919,0.8,5.82,39.6
217.973,0.8,5.82,39.4
217.983,0.8,5.82,39.4
217.987,0.8,5.82,39.4
217.99,0.8,5.82,39.4
218.309,0.8,5.82,39.2
218.312,0.8,5.82,39.2
218.318,0.8,5.82,39.2
218.328,0.8,5.82,39.2
218.545,0.8,5.82,39.1
218.548,0.8,5.82,39.1
218.56,0.8,5.82,39.1
218.563,0.8,5.82,39.1
218.635,0.8,5.82,39
218.643,0.8,5.82,39
218.667,0.8,5.82,38.9
218.673,0.8,5.82,38.9
218.724,0.8,5.82,38.8
218.737,0.8,5.82,38.8
218.784,0.8,5.82,38.7
218.791,0.8,5.82,38.7
218.916,0.8,5.82,38.7
218.976,0.8,5.82,38.7
218.98,0.8,5.82,38.7
218.985,0.8,5.82,38.7
219.041,0.8,5.82,38.5
219.053,0.8,5.82,38.5
219.058,0.8,5.82,38.5
219.072,0.8,5.82,38.5
219.141,0.8,5.84,38.1
219.145,0.8,5.84,38.1
219.15,0.8,5.84,38.1
219.416,0.8,5.84,38
219.428,0.8,5.84,38
219.439,0.8,5.84,38
219.443,0.8,5.84,38
219.504,0.8,5.84,38
219.556,0.8,5.84,37.9
219.564,0.8,5.84,37.9
219.57,0.8,5.84,37.9
219.619,0.8,5.84,37.8
219.76,0.8,5.84,37.7
219.775,0.8,5.84,37.7
219.792,0.8,5.84,37.7
219.794,0.8,5.84,37.7
220.055,0.8,5.83,37.5
220.104,0.8,5.83,37.4
220.106,0.8,5.83,37.4
220.109,0.8,5.83,37.4
220.275,0.8,5.83,37.2
220.279,0.8,5.83,37.2
220.29,0.8,5.83,37.2
220.298,0.8,5.83,37.2
220.39,0.8,5.83,37.1
220.396,0.8,5.83,37.1
220.405,0.8,5.83,37.1
220.431,0.8,5.83,37.1
220.512,0.8,5.83,37
220.523,0.8,5.83,37
220.531,0.8,5.83,37
220.548,0.8,5.83,37
220.601,0.9,5.83,36.9
220.656,0.9,5.83,36.8
220.663,0.9,5.83,36.8
220.68,0.9,5.83,36.8
220.735,0.9,5.83,36.7
220.745,0.9,5.83,36.7
220.823,0.8,5.83,36.7
220.839,0.8,5.83,36.7
220.881,0.8,5.82,36.6
220.887,0.8,5.82,36.6
220.976,0.8,5.82,36.5
220.983,0.8,5.82,36.5
221.002,0.8,5.82,36.5
221.006,0.8,5.82,36.5
221.099,0.8,5.82,36.4
221.147,0.8,5.82,36.4
221.151,0.8,5.82,36.4
221.16,0.8,5.82,36.4
221.201,0.8,5.81,36.3
221.209,0.8,5.81,36.3
221.216,0.8,5.81,36.3
221.221,0.8,5.81,36.3
221.318,0.8,5.8,36.2
221.334,0.8,5.8,36.2
221.337,0.8,5.8,36.2
221.34,0.8,5.8,36.2
221.502,0.8,5.79,36.1
221.504,0.8,5.79,36.1
221.522,0.8,5.79,36.1
221.524,0.8,5.79,36.1
221.619,0.8,5.78,35.9
221.627,0.8,5.78,35.9
221.642,0.8,5.78,35.9
221.65,0.8,5.78,35.9
221.741,0.8,5.78,35.8
221.747,0.8,5.78,35.8
221.75,0.8,5.78,35.8
221.76,0.8,5.78,35.8
221.827,0.7,5.78,35.7
221.84,0.7,5.78,35.7
221.943,0.8,5.77,35.7
221.955,0.8,5.77,35.7
221.961,0.8,5.77,35.7
221.966,0.8,5.77,35.7
222.064,0.8,5.77,35.6
222.077,0.8,5.77,35.6
222.08,0.8,5.77,35.6
222.09,0.8,5.77,35.6
222.222,0.8,5.77,35.5
222.281,0.8,5.77,35.5
222.287,0.8,5.77,35.5
222.293,0.8,5.77,35.5
222.344,0.8,5.77,35.3
222.353,0.8,5.77,35.3
222.356,0.8,5.77,35.3
222.366,0.8,5.77,35.3
222.515,0.8,5.76,35.2
222.527,0.8,5.76,35.2
222.541,0.8,5.76,35.2
222.553,0.8,5.76,35.2
222.628,0.8,5.76,35.1
222.636,0.8,5.76,35.1
222.643,0.8,5.76,35.1
222.646,0.8,5.76,35.1
222.746,0.8,5.77,35
222.755,0.8,5.77,35
222.759,0.8,5.77,35
222.772,0.8,5.77,35
222.856,0.8,5.78,34.9
222.859,0.8,5.78,34.9
222.872,0.8,5.78,34.9
222.877,0.8,5.78,34.9
222.953,0.8,5.78,34.8
222.958,0.8,5.78,34.8
222.964,0.8,5.78,34.8
222.976,0.8,5.78,34.8
223.053,0.8,5.79,34.7
223.061,0.8,5.79,34.7
223.072,0.8,5.79,34.7
223.076,0.8,5.79,34.7
223.171,0.8,5.79,34.6
223.181,0.8,5.79,34.6
223.185,0.8,5.79,34.6
223.202,0.8,5.79,34.6
223.307,0.8,5.79,34.5
223.374,0.8,5.79,34.5
223.377,0.8,5.79,34.5
223.382,0.8,5.79,34.5
223.423,0.8,5.79,34.4
223.431,0.8,5.79,34.4
223.44,0.8,5.79,34.4
223.453,0.8,5.79,34.4
223.553,0.8,5.78,34.4
223.558,0.8,5.78,34.4
223.566,0.8,5.78,34.4
223.571,0.8,5.78,34.4
223.727,0.8,5.79,34.2
223.736,0.8,5.79,34.2
223.739,0.8,5.79,34.2
223.742,0.8,5.79,34.2
223.938,0.8,5.79,34.1
223.941,0.8,5.79,34.1
223.951,0.8,5.79,34.1
223.953,0.8,5.79,34.1
224.291,0.8,5.79,33.9
224.299,0.8,5.79,33.9
224.301,0.8,5.79,33.9
224.307,0.8,5.79,33.9
224.511,0.8,5.79,33.9
224.565,0.8,5.79,33.9
224.572,0.8,5.79,33.9
224.577,0.8,5.79,33.9
225.471,0.8,5.78,33.5
225.476,0.8,5.78,33.5
225.478,0.8,5.78,33.5
225.488,0.8,5.78,33.5
225.684,0.8,5.77,33.4
225.726,0.8,5.77,33.3
225.729,0.8,5.77,33.3
225.731,0.8,5.77,33.3
225.796,0.8,5.77,33.1
225.8,0.8,5.77,33.1
225.802,0.8,5.77,33.1
225.805,0.8,5.77,33.1
225.976,0.8,5.76,32.9
225.979,0.8,5.76,32.9
225.994,0.8,5.76,32.9
226.014,0.8,5.76,32.9
226.171,0.8,5.76,32.7
226.174,0.8,5.76,32.7
226.181,0.8,5.76,32.7
226.185,0.8,5.76,32.7
226.271,0.8,5.75,32.5
226.276,0.8,5.75,32.5
226.281,0.8,5.75,32.5
226.288,0.8,5.75,32.5
226.483,0.8,5.76,32.3
226.488,0.8,5.76,32.3
226.491,0.8,5.76,32.3
226.503,0.8,5.76,32.3
226.596,0.8,5.76,32.2
226.605,0.8,5.76,32.2
226.607,0.8,5.76,32.2
226.615,0.8,5.76,32.2
226.683,0.8,5.77,31.8
226.688,0.8,5.77,31.8
226.749,0.8,5.77,31.8
226.752,0.8,5.77,31.8
226.88,0.8,5.77,31.7
226.884,0.8,5.77,31.7
226.89,0.8,5.77,31.7
226.897,0.8,5.77,31.7
226.985,0.8,5.77,31.7
226.988,0.8,5.77,31.7
226.996,0.8,5.77,31.7
227.006,0.8,5.77,31.7
227.154,0.8,5.77,31.3
227.162,0.8,5.77,31.3
227.175,0.8,5.77,31.3
227.18,0.8,5.77,31.3
227.222,0.8,5.76,31.2
227.23,0.8,5.76,31.2
227.235,0.8,5.76,31.2
227.249,0.8,5.76,31.2
227.411,0.8,5.76,31.1
227.413,0.8,5.76,31.1
227.417,0.8,5.76,31.1
227.425,0.8,5.76,31.1
227.531,0.8,5.76,31
227.539,0.8,5.76,31
227.543,0.8,5.76,31
227.546,0.8,5.76,31
227.621,0.8,5.74,30.8
227.625,0.8,5.74,30.8
227.629,0.8,5.74,30.8
227.632,0.8,5.74,30.8
227.892,0.8,5.73,30.6
227.962,0.8,5.73,30.6
227.97,0.8,5.73,30.6
227.975,0.8,5.73,30.6
228.03,0.8,5.74,30.6
228.046,0.8,5.74,30.6
228.057,0.8,5.74,30.6
228.064,0.8,5.74,30.6
228.143,0.8,5.74,30.6
228.147,0.8,5.74,30.6
228.152,0.8,5.74,30.6
228.162,0.8,5.74,30.6
228.251,0.9,5.74,30.3
228.258,0.9,5.74,30.3
228.263,0.9,5.74,30.3
228.268,0.9,5.74,30.3
228.401,0.8,5.73,30.1
228.407,0.8,5.73,30.1
228.412,0.8,5.73,30.1
228.423,0.8,5.73,30.1
228.557,0.8,5.72,30
228.568,0.8,5.72,30
228.577,0.8,5.72,30
228.579,0.8,5.72,30
228.697,0.8,5.72,29.8
228.702,0.8,5.72,29.8
228.709,0.8,5.72,29.8
228.713,0.8,5.72,29.8
228.793,0.8,5.72,29.7
228.801,0.8,5.72,29.7
228.804,0.8,5.72,29.7
228.81,0.8,5.72,29.7
228.884,0.8,5.73,29.6
228.901,0.8,5.73,29.6
228.958,0.8,5.73,29.6
228.961,0.8,5.73,29.6
229.052,0.8,5.73,29.4
229.056,0.8,5.73,29.4
229.065,0.8,5.73,29.4
229.07,0.8,5.73,29.4
229.164,0.8,5.74,29.4
229.17,0.8,5.74,29.4
229.172,0.8,5.74,29.4
229.184,0.8,5.74,29.4
229.286,0.8,5.74,29.3
229.289,0.8,5.74,29.3
229.296,0.8,5.74,29.3
229.298,0.8,5.74,29.3
229.402,0.8,5.74,29.2
229.405,0.8,5.74,29.2
229.411,0.8,5.74,29.2
229.417,0.8,5.74,29.2
229.489,0.8,5.73,29.1
229.491,0.8,5.73,29.1
229.505,0.8,5.73,29.1
229.603,0.8,5.74,29
229.609,0.8,5.74,29
229.612,0.8,5.74,29
229.618,0.8,5.74,29
229.702,0.8,5.74,28.9
229.713,0.8,5.74,28.9
229.723,0.8,5.74,28.9
229.728,0.8,5.74,28.9
229.84,0.8,5.74,28.9
229.852,0.8,5.74,28.9
229.863,0.8,5.74,28.9
229.881,0.8,5.74,28.9
229.926,0.8,5.74,28.8
229.982,0.8,5.74,28.8
229.998,0.8,5.74,28.8
230.001,0.8,5.74,28.8
230.021,0.7,5.75,28.7
230.029,0.7,5.75,28.7
230.117,0.7,5.75,28.6
230.125,0.7,5.75,28.6
230.134,0.7,5.75,28.6
230.157,0.7,5.75,28.6
230.192,0.7,5.75,28.6
230.295,0.8,5.75,28.5
230.305,0.8,5.75,28.5
230.309,0.8,5.75,28.5
230.313,0.8,5.75,28.5
230.416,0.8,5.76,28.4
230.421,0.8,5.76,28.4
230.428,0.8,5.76,28.4
230.433,0.8,5.76,28.4
230.543,0.8,5.76,28.3
230.55,0.8,5.76,28.3
230.56,0.8,5.76,28.3
230.568,0.8,5.76,28.3
230.659,0.8,5.77,28.2
230.662,0.8,5.77,28.2
230.666,0.8,5.77,28.2
230.675,0.8,5.77,28.2
230.749,0.8,5.78,28.2
230.77,0.8,5.78,28.2
230.772,0.8,5.78,28.2
230.774,0.8,5.78,28.2
230.843,0.8,5.78,28.1
230.845,0.8,5.78,28.1
230.853,0.8,5.78,28.1
230.893,0.8,5.78,28.1
231.013,0.8,5.78,28
231.096,0.8,5.78,27.9
231.102,0.8,5.78,27.9
