Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
2586.34,1284.37,1873.35,0.188,0.224,0.726,1514,1514,1514
2582.06,833.688,1454.23,0.198,0.22,0.452,1514,1514,1514
2276.46,830.656,1404.58,0.189,0.212,0.627,1397,1514,1298
2623.88,560.28,1678.42,0.579,27.093,4.734,514,1514,1514
2539.51,117.104,1803.57,0.202,12.288,0.561,1514,1514,1514
2034.71,69.984,1437.78,0.206,0.601,0.489,1514,1514,1514
1879.06,1101.44,1051.48,0.031,0.22,0.622,1514,287,1514
1734.05,1141.32,1036.62,6.824,0.229,0.479,1514,102,1514
1389.42,1384.14,822.144,20.309,0.218,0.878,1514,102,784
1568.81,736.232,1251.56,3.91,0.218,17.385,1514,1514,985
2278.57,853.112,1774.09,0.518,0.516,9.482,1514,1514,974
2217.73,1523.58,1754.4,0.241,0.048,32.499,1514,1514,1115
2153.14,1367.9,1823.59,0.177,0.534,22.459,1514,1514,985
1740.52,260.952,1809.74,0.179,0.208,34.92,1514,1514,1107
2322.63,278.192,1625.21,0.608,0.214,30.08,1514,1514,985
1815.61,186.536,1701.6,0.139,0.233,14.748,1514,1514,264
2201.03,381.96,1470.9,0.113,0.232,30.365,1514,967,1091
2674.29,642.8,1316.73,6.311,0.107,20.628,556,1078,985
1712.05,1378.62,,8.172,19.332,9.474,975,102,1514
2226.05,1340.12,,17.763,0.513,0.339,975,1514,776
2887.4,2246.81,,0.629,0.195,29.439,975,1514,1514
2669.83,1959.47,,0.376,0.15,0.479,975,1514,1360
2515.3,1439.17,,0.039,0.101,24.398,975,1514,985
2720.48,1543.62,,0.146,0.392,35.268,975,1514,1514
2172,2374.83,,0.189,0.074,0.31,975,1514,888
1379.27,2704.81,,0.222,0.084,29.812,975,1514,985
1113.95,3165.54,,0.181,0.364,14.807,975,1514,1514
1704.6,2947.62,,0.063,0.158,0.338,975,427,1114
2490.22,1738.66,,1.514,0.125,29.671,975,76,1514
3219.34,2366.98,,5.927,0.15,0.315,975,76,607
1626.43,2641.97,,1.341,0.161,19.533,975,76,985
118.464,3109.27,,6.252,0.155,10.587,975,76,1514
405.216,1476.14,,2.037,0.129,0.154,975,474,327
288.608,2533.08,,4.981,1.137,29.33,975,102,1514
1636.72,2606.26,,0.362,0.054,0.347,975,76,1139
1391.78,2777.06,,8.221,0.03,24.693,975,1514,985
1294.77,2489.23,,0.52,0.895,35.347,166,1514,1514
2931.38,2963.42,,0.194,3.212,0.327,1514,1514,882
3107.58,2577.18,,0.2,0.57,29.368,1514,1514,985
2228.29,1727.61,,0.192,0.218,15.179,1514,1514,1514
2723.36,2757.98,,0.566,0.222,0.429,1514,1514,1514
3209.78,3127.03,,0.197,0.284,1.028,1514,1514,1514
3111.18,2627.46,,0.209,0.162,0.183,1488,1514,1514
2920.26,2799.34,,0.03,8.191,0.64,1514,97,1514
2430.31,3387.76,,9.661,0.55,0.507,1514,102,1514
2383.31,2318.92,,20.315,0.23,0.82,1514,102,1514
2390.61,2671.84,,1.082,0.226,0.643,1514,1514,1514
